id,first_name,second_name,team,element_type,code
5,Karl,Hein,1,1,463748
15,David,Raya Martin,1,1,154561
73,Norberto,Murara Neto,1,1,69752
639,Tommy,Setford,1,1,551221
39,Joe,Gauci,2,1,462492
46,Filip,Marschall,2,1,462381
47,Emiliano,Martínez Romero,2,1,98980
51,Robin,Olsen,2,1,111782
55,Viljami,Sinisalo,2,1,248164
641,Oliwier,Zych,2,1,516159
75,Alex,Paulsen,3,1,495145
84,Mark,Travers,3,1,229600
152,Kepa,Arrizabalaga,3,1,109745
599,Will,Dennis,3,1,444172
91,Mark,Flekken,4,1,118342
109,Hákon,Valdimarsson,4,1,507433
142,Jason,Steele,5,1,49262
146,Bart,Verbruggen,5,1,489639
615,Carl,Rushworth,5,1,472739
154,Lucas,Bergström,6,1,482158
155,Marcus,Bettinelli,6,1,122074
183,Đorđe,Petrović,6,1,457569
185,Robert,Sánchez,6,1,215059
581,Filip,Jørgensen,6,1,508479
201,Dean,Henderson,7,1,172649
209,Remi,Matthews,7,1,169593
445,Matt,Turner,7,1,224068
227,João,Neves Virgínia,8,1,222627
235,Jordan,Pickford,8,1,111234
624,Asmir,Begovic,8,1,40349
242,Steven,Benda,9,1,428971
248,Bernd,Leno,9,1,80201
280,Cieran,Slicker,10,1,434044
283,Christian,Walton,10,1,108813
568,Arijanet,Muric,10,1,232917
293,Mads,Hermansen,11,1,467189
294,Daniel,Iversen,11,1,207270
304,Jakub,Stolarczyk,11,1,436680
308,Danny,Ward,11,1,95463
310,Alisson,Ramses Becker,12,1,116535
325,Caoimhin,Kelleher,12,1,200720
344,Scott,Carson,13,1,17601
347,Ederson,Santana de Moraes,13,1,121160
358,Stefan,Ortega Moreno,13,1,88248
367,Altay,Bayindir,14,1,451302
374,Tom,Heaton,14,1,21205
383,André,Onana,14,1,202641
396,Martin,Dúbravka,15,1,67089
412,Odysseas,Vlachodimos,15,1,111452
413,Nick,Pope,15,1,98747
414,John,Ruddy,15,1,19236
427,Carlos Miguel,dos Santos Pereira,16,1,475123
443,Matz,Sels,16,1,85633
14,Aaron,Ramsdale,17,1,225321
454,Gavin,Bazunu,17,1,456350
465,Mateusz,Lis,17,1,200428
466,Joe,Lumley,17,1,167888
469,Alex,McCarthy,17,1,58376
479,Brandon,Austin,18,1,214572
488,Fraser,Forster,18,1,40383
508,Guglielmo,Vicario,18,1,184254
510,Alfie,Whiteman,18,1,175941
513,Alphonse,Areola,19,1,84182
521,Łukasz,Fabiański,19,1,37096
522,Wes,Foderingham,19,1,82143
204,Sam,Johnstone,20,1,101982
536,Daniel,Bentley,20,1,79602
554,José,Malheiro de Sá,20,1,149065
556,Tom,King,20,1,138001
