id,first_name,second_name,team,element_type,code
1,Fábio,Ferreira Vieira,1,3,438098
2,Gabriel,Fernando de Jesus,1,4,205651
3,Gabriel,dos Santos Magalhães,1,2,226597
4,Kai,Havertz,1,4,219847
5,Karl,Hein,1,1,463748
6,Jurriën,Timber,1,2,445122
7,Jorge Luiz,Frello Filho,1,3,85955
8,Jakub,Kiwior,1,2,440854
9,Gabriel,Martinelli Silva,1,3,444145
12,Ethan,Nwaneri,1,3,499175
13,Martin,Ødegaard,1,3,184029
15,David,Raya Martin,1,1,154561
16,Declan,Rice,1,3,204480
17,Bukayo,Saka,1,3,223340
18,William,Saliba,1,2,462424
20,Thomas,Partey,1,3,167199
21,Kieran,Tierney,1,2,192895
22,Tomiyasu,Takehiro,1,2,223723
23,Leandro,Trossard,1,3,116216
24,Benjamin,White,1,2,198869
25,Oleksandr,Zinchenko,1,2,206325
73,Norberto,Murara Neto,1,1,69752
186,Raheem,Sterling,1,3,103955
578,Riccardo,Calafiori,1,2,466075
597,Myles,Lewis-Skelly,1,3,499169
633,Mikel,Merino,1,3,195384
638,Salah-Eddine,Oulad M'hand,1,3,498046
639,Tommy,Setford,1,1,551221
28,Leon,Bailey,2,3,215711
29,Ross,Barkley,2,3,88894
30,Enzo,Barrenechea,2,3,491287
31,Emiliano,Buendía Stati,2,3,195546
32,Matty,Cash,2,2,199796
33,Leander,Dendoncker,2,3,151589
34,Moussa,Diaby,2,3,243557
35,Diego Carlos,Santos Silva,2,2,165659
36,Lucas,Digne,2,2,101188
37,Lewis,Dobbin,2,3,461421
38,Jhon,Durán,2,4,476344
39,Joe,Gauci,2,1,462492
40,Kortney,Hause,2,2,123354
41,Samuel,Iling-Junior,2,3,469247
42,Boubacar,Kamara,2,3,226944
43,Kaine,Kesler-Hayden,2,2,465390
44,Ezri,Konsa Ngoyo,2,2,199798
45,Ian,Maatsen,2,2,441302
46,Filip,Marschall,2,1,462381
47,Emiliano,Martínez Romero,2,1,98980
48,John,McGinn,2,3,122806
49,Tyrone,Mings,2,2,149484
50,Kosta,Nedeljković,2,2,578545
51,Robin,Olsen,2,1,111782
52,Pau,Torres,2,2,244954
53,Jacob,Ramsey,2,3,232653
54,Morgan,Rogers,2,3,244850
55,Viljami,Sinisalo,2,1,248164
56,Lino,da Cruz Sousa,2,2,514315
57,Youri,Tielemans,2,3,166989
58,Ollie,Watkins,2,4,178301
233,Amadou,Onana,2,3,449871
569,Jaden,Philogene,2,3,481624
598,Lamare,Bogarde,2,2,515597
640,Sil,Swinkels,2,2,514287
641,Oliwier,Zych,2,1,516159
59,Max,Aarons,3,2,232980
60,Tyler,Adams,3,3,200785
61,Jaidon,Anthony,3,3,444180
62,David,Brooks,3,3,111317
63,Ryan,Christie,3,3,158499
64,Lewis,Cook,3,3,155408
65,Enes,Ünal,3,4,168636
66,Romain,Faivre,3,3,441240
67,Hamed,Traorè,3,3,424044
68,James,Hill,3,2,463981
69,Daniel,Jebbison,3,4,523700
70,Milos,Kerkez,3,2,544877
71,Justin,Kluivert,3,3,222683
72,Chris,Mepham,3,2,223911
74,Dango,Ouattara,3,3,533463
75,Alex,Paulsen,3,1,495145
76,Philip,Billing,3,3,168991
77,Alex,Scott,3,3,503139
78,Antoine,Semenyo,3,3,437730
79,Marcos,Senesi,3,2,221466
80,Luis,Sinisterra,3,3,224995
81,Adam,Smith,3,2,54469
83,Marcus,Tavernier,3,3,201658
84,Mark,Travers,3,1,229600
85,Illia,Zabarnyi,3,2,477580
152,Kepa,Arrizabalaga,3,1,109745
580,Dean,Huijsen,3,2,554605
592,Julián,Araujo Zúñiga,3,2,436893
599,Will,Dennis,3,1,444172
617,Francisco Evanilson,de Lima Barbosa,3,4,444102
86,Kristoffer,Ajer,4,2,191866
87,Ethan,Brierley,4,3,494041
88,Nathan,Collins,4,2,432830
89,Mikkel,Damsgaard,4,3,440089
90,Josh,Dasilva,4,3,183656
91,Mark,Flekken,4,1,118342
92,Rico,Henry,4,2,194010
93,Aaron,Hickey,4,2,472713
94,Vitaly,Janelt,4,3,204580
95,Mathias,Jensen,4,3,207283
96,Kim,Ji-soo,4,2,570241
97,Yunus Emre,Konak,4,3,628204
98,Keane,Lewis-Potter,4,3,249231
99,Bryan,Mbeumo,4,3,446008
100,Ben,Mee,4,2,51927
101,Christian,Nørgaard,4,3,128295
102,Frank,Onyeka,4,3,428580
103,Myles,Peart-Harris,4,3,450539
104,Ethan,Pinnock,4,2,231065
105,Mads,Roerslev Rasmussen,4,2,226956
106,Kevin,Schade,4,3,513418
107,Igor Thiago,Nascimento Rodrigues,4,4,502500
108,Ivan,Toney,4,4,144485
109,Hákon,Valdimarsson,4,1,507433
110,Yoane,Wissa,4,4,216646
111,Yehor,Yarmoliuk,4,3,508395
112,Mathias,Jorgensen,4,2,48760
314,Fábio,Freitas Gouveia Carvalho,4,3,244858
338,Sepp,van den Berg,4,2,444765
602,Ryan,Trevitt,4,3,591357
634,Gustavo,Nunes Fernandes Gomes,4,3,626464
649,Jayden,Meghoma,4,2,499717
113,Simon,Adingra,5,3,535818
114,Benicio,Baker-Boaitey,5,3,475480
115,Carlos,Baleba,5,3,535301
116,Valentín,Barco,5,2,543158
118,Amario,Cozier-Duberry,5,3,519324
119,Mahmoud,Dahoud,5,3,168090
120,Lewis,Dunk,5,2,83299
121,Julio,Enciso,5,3,474120
122,Pervis,Estupiñán,5,2,204214
123,Evan,Ferguson,5,4,487117
124,Billy,Gilmour,5,3,243568
125,Pascal,Groß,5,3,60307
126,Jack,Hinshelwood,5,3,532529
127,Ibrahim,Osman,5,3,612855
128,Igor Julio,dos Santos de Paulo,5,2,223434
129,João Pedro,Junqueira de Jesus,5,4,475168
130,Kacper,Kozłowski,5,3,484658
131,Tariq,Lamptey,5,2,232792
132,Solly,March,5,3,109345
133,Adrian,Mazilu,5,3,550141
134,James,Milner,5,3,15157
135,Yankuba,Minteh,5,3,592031
136,Mitoma,Kaoru,5,3,451340
137,Jakub,Moder,5,3,243505
138,Mark,O’Mahony,5,4,574402
139,Odeluga,Offiah,5,2,445548
140,Cameron,Peupion,5,3,491598
141,Jeremy,Sarmiento Morante,5,3,441192
142,Jason,Steele,5,1,49262
143,Deniz,Undav,5,4,450434
144,Jan Paul,van Hecke,5,2,469142
145,Joël,Veltman,5,2,111478
146,Bart,Verbruggen,5,1,489639
147,Adam,Webster,5,2,110735
148,Danny,Welbeck,5,4,50175
149,Mats,Wieffer,5,3,467779
595,Brajan,Gruda,5,3,513433
600,Yasin,Ayari,5,3,509416
601,Andrew,Moran,5,3,513834
615,Carl,Rushworth,5,1,472739
618,Georginio,Rutter,5,3,463067
628,Ferdi,Kadioglu,5,2,231416
629,Matt,O'Riley,5,3,219249
150,Andrey,Nascimento dos Santos,6,3,532605
151,Ângelo Gabriel,Borges Damaceno,6,3,518620
153,Benoît,Badiashile,6,2,242880
154,Lucas,Bergström,6,1,482158
