chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90
0.0,75.0,438098,-1,1,-1,1,0,3,0.0,0.8,0,Fábio,0.0,1,False,Has joined Portuguese side FC Porto on loan for the 2024/25 season,2024-08-29T11:06:25.241953Z,54,438098.jpg,0.0,Ferreira Vieira,0.0,False,,u,1,3,0,439,355,1351,477,0.0,0.0,Fábio Vieira,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,604,270,605,274,594,268,608,274,,,,,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,171,108,604,273,604,273,568,246,0.0,0.0
75.0,,205651,-1,1,-2,2,0,4,0.8,1.0,0,Gabriel,0.0,2,False,Groin Injury - 75% chance of playing,2024-08-25T11:00:05.312580Z,68,205651.jpg,0.0,Fernando de Jesus,1.2,False,,d,1,3,0,15314,3144,126632,60487,0.0,0.0,G.Jesus,5,0,0,0,0,0,0,0,1,0,0,0,1,0.2,0.8,0.0,0.1,0,0.00,0.00,0.00,0.15,328,35,284,30,630,68,336,36,,,,,,,0.0,0.0,0.0,0.0,2.7,0.0,38,17,628,68,628,68,177,30,0.0,0.0
,,226597,0,0,0,0,0,2,7.0,7.0,6,Gabriel,6.0,3,False,,,60,226597.jpg,6.0,dos Santos Magalhães,13.0,False,,a,1,3,12,103970,67247,131582,69675,1.0,2.0,Gabriel,180,0,0,2,0,0,0,0,1,0,0,1,47,35.2,3.3,8.0,4.6,2,0.12,0.04,0.16,1.75,96,30,219,64,153,32,162,51,,,,,,,0.06,0.0,0.02,0.08,0.88,0.0,82,5,31,8,35,10,28,10,1.0,1.0
,,219847,0,0,1,-1,1,4,8.0,8.0,2,Kai,7.0,4,False,,,81,219847.jpg,7.0,Havertz,17.3,False,,a,1,3,14,586780,235826,270477,205349,0.9,1.7,Havertz,180,1,1,2,0,0,0,0,0,0,0,3,46,54.8,30.2,61.0,14.5,2,0.66,0.07,0.73,1.75,33,5,69,5,20,8,28,6,,,,,3.0,,0.33,0.0,0.04,0.37,0.88,0.0,12,4,17,3,18,3,18,5,1.0,1.0
0.0,0.0,463748,0,0,0,0,0,1,0.0,0.0,0,Karl,0.0,5,False,Loaned to Real Valladolid,2024-08-14T08:31:46.556082Z,40,463748.jpg,0.0,Hein,0.1,False,,u,1,3,0,0,0,1856,626,0.0,0.0,Hein,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,376,46,364,27,306,25,384,46,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,611,63,380,45,380,45,506,63,0.0,0.0
,,445122,0,0,0,0,0,2,4.5,4.5,6,Jurriën,3.5,6,False,,,55,445122.jpg,3.5,Timber,1.0,False,,a,1,3,7,27762,23463,23680,11698,0.6,1.3,J.Timber,99,0,0,1,0,0,0,0,0,0,0,0,26,3.4,5.5,10.0,1.8,1,0.02,0.02,0.04,1.27,281,102,189,54,136,27,267,90,,,,,,,0.02,0.0,0.02,0.04,1.15,0.0,132,13,93,35,96,37,187,68,0.91,0.91
,,85955,-1,1,-1,1,0,3,1.0,1.0,0,Jorge Luiz,0.0,7,False,,,49,85955.jpg,0.0,Frello Filho,0.3,False,,a,1,3,0,5359,2744,12815,6051,0.0,0.0,Jorginho,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,530,225,529,232,498,210,537,231,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,291,190,538,233,538,233,317,105,0.0,0.0
,,440854,-1,1,-1,1,0,2,1.0,1.0,0,Jakub,0.0,8,False,,,49,440854.jpg,0.0,Kiwior,0.2,False,,a,1,3,0,1442,734,6666,2716,0.0,0.0,Kiwior,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,548,200,546,200,520,195,555,200,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,324,40,554,198,554,198,381,143,0.0,0.0
,,444145,0,0,0,0,0,3,4.0,4.0,3,Gabriel,3.0,9,False,,,70,444145.jpg,3.0,Martinelli Silva,2.6,False,,a,1,3,6,39052,17880,79835,45905,0.4,0.9,Martinelli,154,0,0,2,0,0,0,0,0,0,0,0,25,20.0,63.0,35.0,11.8,2,0.08,0.60,0.68,1.59,179,75,23,20,54,33,47,33,,,,,,,0.05,0.0,0.35,0.4,0.93,0.0,28,15,110,45,111,46,122,41,1.17,1.17
,,200641,0,0,0,0,0,3,1.5,1.5,1,Reiss,0.5,10,False,,,50,200641.jpg,1.0,Nelson,0.0,False,,a,1,3,1,723,471,1493,692,0.1,0.2,Nelson,2,0,0,0,0,0,0,0,0,0,0,0,3,2.0,0.0,0.0,0.2,0,0.00,0.00,0.00,0.02,301,150,561,249,539,234,322,164,,,,,,,0.0,0.0,0.0,0.0,0.9,0.0,208,133,306,155,270,138,526,213,0.0,0.0
,,205533,0,0,-1,1,0,4,1.0,1.0,0,Eddie,0.0,11,False,,,59,205533.jpg,0.0,Nketiah,0.3,False,,a,1,3,0,9744,7348,17533,8184,0.0,0.0,Nketiah,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,620,66,620,66,614,65,620,66,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,91,26,617,65,617,65,297,49,0.0,0.0
,,499175,0,0,0,0,0,3,1.0,1.0,0,Ethan,0.0,12,False,,,45,499175.jpg,0.0,Nwaneri,0.2,False,,a,1,3,0,5821,3355,6684,3766,0.0,0.0,Nwaneri,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,500,200,500,208,465,184,508,207,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,483,261,507,208,507,208,341,114,0.0,0.0
,,184029,-1,1,-1,1,0,3,3.5,3.5,2,Martin,2.5,13,False,,,84,184029.jpg,2.5,Ødegaard,12.5,False,,a,1,3,5,66420,37573,372999,216310,0.3,0.6,Ødegaard,180,0,0,2,0,0,0,0,1,0,0,0,20,24.4,58.2,35.0,11.8,2,0.28,0.66,0.94,1.75,158,67,27,24,55,34,48,34,3.0,,1.0,,2.0,,0.14,0.0,0.33,0.47,0.88,0.0,11,8,129,62,130,63,33,12,1.0,1.0
,,225321,-1,1,-1,1,0,1,1.0,1.0,0,Aaron,0.0,14,False,,,44,225321.jpg,0.0,Ramsdale,0.9,False,,a,1,3,0,18456,16078,23965,11918,0.0,0.0,Ramsdale,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,418,53,406,34,351,32,426,53,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,544,35,423,52,423,52,202,28,0.0,0.0
,,154561,0,0,0,0,1,1,10.0,10.0,10,David,9.0,15,True,,,55,154561.jpg,9.0,Raya Martin,28.4,False,,a,1,3,18,403392,331717,170186,81908,1.6,3.3,Raya,180,0,0,2,0,0,0,0,0,0,6,4,55,56.2,0.0,0.0,5.6,2,0.00,0.00,0.00,1.75,29,4,610,67,600,67,129,5,,,,,,,0.0,3.0,0.0,0.0,0.88,0.0,111,3,6,1,7,1,11,1,1.0,1.0
,,204480,0,0,0,0,0,3,3.5,3.5,2,Declan,2.5,16,False,,,65,204480.jpg,2.5,Rice,5.3,False,,a,1,3,5,43015,17599,152193,82480,0.4,0.8,Rice,174,0,0,2,0,0,0,0,1,0,0,0,27,25.4,25.7,29.0,8.0,2,0.16,0.16,0.32,1.60,150,62,80,63,70,45,82,58,2.0,,2.0,,,,0.08,0.0,0.08,0.16,0.83,0.0,45,26,123,56,124,57,73,25,1.03,1.03
,,223340,0,0,0,0,1,3,10.0,10.0,6,Bukayo,9.0,17,True,,,100,223340.jpg,9.0,Saka,34.2,False,,a,1,3,18,519194,278906,302841,204495,0.9,1.8,Saka,166,1,2,2,0,0,0,0,1,0,0,2,63,92.0,89.1,105.0,28.6,2,0.40,0.47,0.87,1.57,7,4,7,6,3,2,1,1,1.0,,,,1.0,,0.22,0.0,0.25,0.47,0.85,0.0,5,4,8,5,9,6,7,3,1.08,1.08
,,462424,0,0,0,0,0,2,7.0,7.0,6,William,6.0,18,False,,,60,462424.jpg,6.0,Saliba,39.8,False,,a,1,3,12,225745,154590,265393,139847,1.0,2.0,Saliba,180,0,0,2,0,0,0,0,0,0,0,0,50,38.6,2.1,0.0,4.1,2,0.00,0.01,0.01,1.75,77,20,247,77,620,208,191,63,,,,,,,0.0,0.0,0.0,0.0,0.88,0.0,84,6,32,9,36,11,4,1,1.0,1.0
,,167199,0,0,0,0,0,3,8.0,8.0,11,Thomas,7.0,20,False,,,50,167199.jpg,7.0,Partey,1.3,False,,a,1,3,14,103085,98739,19771,17699,1.4,2.8,Thomas,180,1,0,2,0,0,0,0,0,0,0,3,43,53.8,51.1,9.0,11.4,2,0.16,0.14,0.30,1.75,36,18,29,25,141,84,50,35,,,,,,,0.08,0.0,0.07,0.15,0.88,0.0,201,128,13,8,14,9,174,56,1.0,1.0
0.0,0.0,192895,-1,1,-1,1,0,2,0.0,0.0,0,Kieran,0.0,21,False,Hamstring injury - Unknown return date,2024-08-12T14:30:04.394338Z,44,192895.jpg,0.0,Tierney,0.0,False,,i,1,3,0,120,68,2493,709,0.0,0.0,Tierney,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,412,159,400,158,345,134,420,159,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,537,141,417,155,417,155,553,186,0.0,0.0
0.0,0.0,223723,0,0,-1,1,0,2,0.0,0.0,0,Tomiyasu,0.0,22,False,Knee injury - Unknown return date,2024-08-12T14:30:04.404182Z,49,223723.jpg,0.0,Takehiro,0.0,False,,i,1,3,0,117,68,4064,1097,0.0,0.0,Tomiyasu,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,543,199,542,199,514,194,550,199,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,316,39,550,197,550,197,522,183,0.0,0.0
,,116216,0,0,-1,1,0,3,5.0,5.0,7,Leandro,4.0,23,False,,,69,116216.jpg,4.0,Trossard,2.0,False,,a,1,3,8,41163,37723,67642,20800,0.6,1.2,Trossard,35,1,0,0,0,0,0,0,0,0,0,1,27,37.8,0.8,26.0,6.5,0,0.18,0.02,0.20,0.31,86,36,285,163,79,50,111,70,4.0,,,,,,0.46,0.0,0.05,0.51,0.8,0.0,34,18,80,36,83,37,141,46,0.0,0.0
,,198869,0,0,0,0,0,2,7.0,7.0,6,Benjamin,6.0,24,False,,,65,198869.jpg,6.0,White,9.7,False,,a,1,3,12,53913,34881,116681,63022,0.9,1.8,White,180,0,0,2,0,0,0,0,0,0,0,0,45,15.0,8.1,12.0,3.5,2,0.07,0.08,0.15,1.75,208,83,181,51,129,24,210,70,,,,,,,0.04,0.0,0.04,0.08,0.88,0.0,44,2,33,10,37,12,46,15,1.0,1.0
,,206325,0,0,0,0,0,2,4.0,4.0,0,Oleksandr,3.0,25,False,,,50,206325.jpg,6.0,Zinchenko,2.8,False,,a,1,3,6,60613,14610,82587,60197,0.6,1.2,Zinchenko,68,0,0,1,0,0,0,0,0,0,0,0,22,7.2,4.9,6.0,1.8,1,0.00,0.04,0.04,0.32,254,94,196,58,174,45,266,89,,,,,,,0.0,0.0,0.05,0.05,0.42,0.0,217,24,104,39,30,8,111,40,1.32,1.32
,,466075,0,0,-1,1,0,2,1.5,1.5,1,Riccardo,0.5,578,False,,,59,466075.jpg,1.0,Calafiori,1.9,False,,a,1,3,1,8171,4104,84065,33201,0.1,0.2,Calafiori,11,0,0,0,0,0,0,0,0,0,0,0,2,0.4,0.0,0.0,0.0,0,0.00,0.00,0.00,0.16,322,106,622,208,617,207,622,208,,,,,,,0.0,0.0,0.0,0.0,1.31,0.0,97,9,326,103,307,94,148,55,0.0,0.0
,,499169,0,0,0,0,0,3,1.0,1.0,0,Myles,0.0,597,False,,,45,499169.jpg,0.0,Lewis-Skelly,0.0,False,,a,1,3,0,1685,943,1318,807,0.0,0.0,Lewis-Skelly,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,499,199,499,207,464,183,507,206,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,482,260,506,207,506,207,527,214,0.0,0.0
,,195384,0,0,0,0,0,3,3.2,3.2,0,Mikel,0.0,633,False,,,60,195384.jpg,0.0,Merino,0.0,False,,a,1,3,0,1183,1183,253,253,0.0,0.0,Merino,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,623,281,624,282,619,279,624,282,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,80,54,620,282,620,282,591,259,0.0,0.0
,,215711,0,0,0,0,0,3,2.0,0.5,2,Leon,1.5,28,False,,,65,215711.jpg,1.5,Bailey,3.2,False,,a,2,7,3,65213,49614,108720,55355,0.2,0.5,Bailey,163,0,0,0,3,0,0,0,1,0,0,0,11,14.6,45.0,30.0,8.8,2,0.25,0.23,0.48,2.26,210,91,41,35,66,41,74,50,3.0,,4.0,,,,0.14,0.0,0.13,0.27,1.25,1.66,47,28,213,112,218,114,104,34,1.1,0.0
,,88894,0,0,-1,1,0,3,1.0,-0.5,1,Ross,0.5,29,False,,,54,88894.jpg,1.0,Barkley,0.6,False,,a,2,7,1,4169,1643,28779,11270,0.1,0.2,Barkley,14,0,0,0,1,0,0,0,0,0,0,0,2,0.0,1.6,1.0,0.2,0,0.02,0.01,0.03,0.38,596,265,258,149,255,145,324,166,,,,,,,0.13,0.0,0.06,0.19,2.44,6.43,153,95,318,163,290,151,233,80,0.0,0.0
,,491287,0,0,0,0,0,3,0.5,-1.0,0,Enzo,0.0,30,False,,,50,491287.jpg,0.0,Barrenechea,0.1,False,,a,2,7,0,820,457,1949,995,0.0,0.0,Barrenechea,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,580,256,585,262,570,253,587,262,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,269,173,584,261,584,261,511,203,0.0,0.0
,,195546,-1,1,-1,1,0,3,0.5,-1.0,0,Emiliano,0.0,31,False,,,54,195546.jpg,0.0,Buendía Stati,0.1,False,,a,2,7,0,1317,779,4854,2237,0.0,0.0,Buendia,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,601,267,602,271,591,265,605,271,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,163,101,601,270,601,270,437,158,0.0,0.0
75.0,,199796,0,0,0,0,0,2,1.5,0.5,1,Matty,1.5,32,False,Hamstring injury - 75% chance of playing,2024-08-24T21:30:05.205042Z,45,199796.jpg,1.5,Cash,2.6,False,,d,2,7,3,37794,9768,91173,66154,0.3,0.7,Cash,96,0,0,0,1,0,0,0,0,0,0,0,10,9.6,12.4,4.0,2.6,2,0.00,0.01,0.01,1.53,238,93,157,37,191,52,238,80,,,,,,,0.0,0.0,0.01,0.01,1.43,0.94,387,74,171,53,177,54,120,43,1.88,0.0
,,151589,0,0,0,0,0,3,0.5,-1.0,0,Leander,0.0,33,False,,,45,151589.jpg,0.0,Dendoncker,0.9,False,,a,2,7,0,12209,7115,20843,11487,0.0,0.0,Dendoncker,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,438,167,434,175,386,149,446,174,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,375,223,444,175,444,175,200,68,0.0,0.0
0.0,0.0,243557,0,0,0,0,0,3,0.0,0.0,0,Moussa,0.0,34,False,Permanent transfer to Al Ittihad,2024-07-26T08:50:40.300928Z,65,243557.jpg,0.0,Diaby,0.0,False,,u,2,7,0,0,0,2509,580,0.0,0.0,Diaby,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,631,288,631,288,629,287,631,288,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,50,31,627,288,627,288,570,248,0.0,0.0
,,165659,0,0,0,0,0,2,0.5,-1.0,0,Diego Carlos,0.0,35,False,,,45,165659.jpg,0.0,Santos Silva,0.6,False,,a,2,7,0,8122,5409,16828,7729,0.0,0.0,Diego Carlos,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,441,177,437,176,390,157,449,177,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,381,70,447,173,447,173,241,87,0.0,0.0
,,101188,0,0,0,0,0,2,2.5,1.0,2,Lucas,2.0,36,False,,,45,101188.jpg,2.0,Digne,2.8,False,,a,2,7,4,81085,69791,39757,25330,0.4,0.9,Digne,148,0,0,0,2,0,0,0,0,0,0,0,22,33.0,21.0,0.0,5.4,2,0.00,0.16,0.16,1.88,110,39,98,18,377,154,136,36,4.0,,2.0,,,,0.0,0.0,0.1,0.1,1.14,1.22,361,60,130,41,131,41,112,41,1.22,0.0
