season_name,element_code,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded
2020/21,245824,70,69,13,305,1,0,1,2,0,0,0,2,0,0,0,38,52.6,26.9,142.0,22.0,0,0.0,0.0,0.0,0.0
2022/23,245824,55,54,72,1098,5,2,1,20,0,0,0,3,0,0,10,206,244.0,118.6,374.0,73.1,11,3.04,0.72,3.76,24.8
2023/24,245824,50,45,22,306,2,0,0,5,0,0,0,2,0,0,2,77,83.6,61.3,139.0,28.2,2,1.59,0.11,1.7,4.5
2021/22,216646,60,57,92,1268,7,2,3,22,0,0,0,0,0,0,6,277,348.0,133.1,402.0,87.6,0,0.0,0.0,0.0,0.0
2022/23,216646,55,53,111,1587,7,4,7,17,0,0,0,3,0,0,6,292,366.2,185.3,424.0,96.8,16,5.65,1.08,6.73,21.64
2023/24,216646,60,57,131,2488,12,4,11,40,0,0,0,7,0,0,15,457,592.8,384.0,769.0,173.2,29,10.54,1.82,12.36,37.55
2023/24,574402,45,45,2,61,0,0,0,1,0,0,0,1,0,0,0,5,6.0,1.6,6.0,1.3,1,0.06,0.0,0.06,1.28
2014/15,101668,50,46,120,2241,5,12,7,40,0,0,0,5,0,0,10,351,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2015/16,101668,60,74,211,3133,24,8,14,34,0,0,1,5,1,0,30,831,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2016/17,101668,100,99,161,2801,13,8,7,57,0,0,0,2,1,0,24,555,629.8,450.4,955.0,202.5,0,0.0,0.0,0.0,0.0
2017/18,101668,85,88,183,3248,20,2,8,57,0,0,1,3,0,0,28,674,822.8,439.9,1222.0,248.6,0,0.0,0.0,0.0,0.0
2018/19,101668,90,90,174,2726,18,5,11,36,0,0,1,3,1,0,31,598,822.0,419.9,1206.0,244.6,0,0.0,0.0,0.0,0.0
2019/20,101668,90,97,210,3032,23,7,11,38,0,0,1,3,0,0,34,775,1026.0,418.4,1455.0,288.8,0,0.0,0.0,0.0,0.0
2020/21,101668,100,102,187,2838,15,14,8,44,0,0,1,1,0,0,23,649,819.2,356.6,1306.0,248.3,0,0.0,0.0,0.0,0.0
2021/22,101668,105,103,133,1801,15,3,4,27,1,0,0,2,0,0,24,480,599.8,229.5,775.0,159.6,0,0.0,0.0,0.0,0.0
2022/23,101668,95,91,82,1841,3,5,4,38,0,0,1,1,0,0,4,206,289.0,173.8,453.0,91.0,19,6.74,0.7,7.44,34.77
2020/21,490145,45,45,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2021/22,490145,45,45,1,3,0,0,0,0,0,0,0,0,0,0,0,4,1.0,0.0,0.0,0.1,0,0.0,0.0,0.0,0.0
2022/23,490145,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2023/24,490145,45,45,4,19,0,0,0,0,0,0,0,0,0,0,0,10,2.0,0.4,6.0,0.8,0,0.0,0.0,0.0,0.02
2019/20,222625,45,45,2,9,0,0,0,1,0,0,0,0,0,0,0,3,3.2,0.6,25.0,2.6,0,0.0,0.0,0.0,0.0
2019/20,475168,50,48,3,22,0,0,0,1,0,0,0,0,0,0,0,8,4.2,6.4,8.0,1.7,0,0.0,0.0,0.0,0.0
2021/22,475168,55,54,60,1634,3,1,2,35,0,0,0,1,0,0,4,207,332.6,291.2,610.0,123.7,0,0.0,0.0,0.0,0.0
2023/24,475168,55,52,104,2037,9,3,5,38,0,0,1,2,0,0,12,406,622.4,578.8,932.0,213.4,19,12.01,4.64,16.65,32.63
2023/24,589507,45,45,5,173,0,0,0,4,0,0,0,0,0,0,0,12,7.8,1.2,13.0,2.2,2,0.1,0.02,0.12,1.89
2021/22,245419,75,70,70,1152,5,3,3,20,0,0,0,2,0,0,8,216,287.8,166.2,460.0,90.9,0,0.0,0.0,0.0,0.0
2022/23,245419,60,56,70,1169,4,4,5,24,0,0,0,2,0,0,3,231,295.2,223.6,440.0,95.1,13,3.55,1.69,5.24,20.81
2016/17,94926,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2017/18,94926,45,45,1,16,0,0,0,1,0,0,0,0,0,0,0,3,0.4,1.1,0.0,0.2,0,0.0,0.0,0.0,0.0
2022/23,147611,55,53,14,401,0,0,1,7,0,0,0,0,0,0,0,23,30.2,52.8,126.0,20.6,4,1.26,0.07,1.33,6.08
2022/23,447203,90,86,100,1684,9,5,7,22,0,0,0,1,1,0,8,310,458.2,336.9,1078.0,186.0,19,12.15,2.66,14.81,28.62
2023/24,447203,75,75,132,2033,11,11,6,25,0,0,1,9,0,0,9,397,660.8,439.1,1223.0,232.4,22,16.23,4.37,20.6,25.33
2012/13,57531,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2015/16,57531,60,53,126,2057,8,7,7,29,0,0,0,3,0,0,12,424,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2016/17,57531,70,67,132,2433,9,8,7,43,0,0,0,4,1,0,8,410,622.4,503.1,1105.0,222.7,0,0.0,0.0,0.0,0.0
2017/18,57531,75,74,62,1350,3,2,7,23,0,0,0,1,0,0,1,188,296.6,256.3,393.0,94.6,0,0.0,0.0,0.0,0.0
2018/19,57531,70,68,118,2093,6,8,7,30,0,0,0,3,0,0,6,305,482.0,346.2,852.0,167.0,0,0.0,0.0,0.0,0.0
2019/20,57531,70,71,111,1767,10,4,3,30,0,0,0,3,0,0,8,284,552.8,377.4,1094.0,201.7,0,0.0,0.0,0.0,0.0
2020/21,57531,65,67,118,1972,10,5,6,25,0,0,0,3,0,0,19,345,517.8,349.1,1038.0,190.1,0,0.0,0.0,0.0,0.0
2021/22,57531,75,73,140,2975,10,10,7,43,0,0,1,6,1,0,14,441,649.2,615.6,1274.0,252.7,0,0.0,0.0,0.0,0.0
2022/23,57531,75,69,84,1822,5,3,5,29,0,0,0,2,0,0,4,222,305.8,209.0,579.0,109.1,21,6.69,0.58,7.27,29.47
2023/24,57531,60,57,78,1692,6,2,5,34,0,0,0,6,0,0,8,228,308.6,132.2,395.0,82.7,21,5.45,1.28,6.72,35.84
2022/23,476344,55,55,11,126,0,0,0,4,0,0,0,1,0,0,0,15,12.8,13.4,51.0,7.4,0,0.59,0.02,0.61,3.88
2023/24,476344,50,50,50,461,5,1,0,12,0,0,0,5,0,0,7,162,190.2,55.2,165.0,40.2,3,2.04,0.15,2.18,11.16
2017/18,205533,50,50,3,17,0,0,0,1,0,0,0,0,0,0,0,10,5.0,1.9,17.0,2.3,0,0.0,0.0,0.0,0.0
2018/19,205533,50,50,10,63,1,0,0,3,0,0,0,0,0,0,1,36,40.8,14.7,59.0,11.4,0,0.0,0.0,0.0,0.0
2019/20,205533,45,43,25,628,2,0,3,9,0,0,0,0,1,0,1,66,90.4,67.0,210.0,36.4,0,0.0,0.0,0.0,0.0
2020/21,205533,60,53,36,411,2,1,1,6,0,0,0,0,0,0,5,120,116.6,97.3,211.0,42.1,0,0.0,0.0,0.0,0.0
2021/22,205533,55,57,55,823,5,1,0,18,0,0,0,3,0,0,6,194,249.2,165.2,408.0,82.1,0,0.0,0.0,0.0,0.0
2022/23,205533,70,63,63,1071,4,2,2,16,0,0,0,3,0,0,5,161,213.4,128.5,607.0,93.8,9,7.89,1.26,9.15,14.65
2023/24,205533,55,50,71,1065,5,4,6,10,0,0,0,3,0,0,5,206,235.0,136.3,417.0,77.2,10,4.65,0.53,5.18,10.21
2023/24,536908,55,54,11,45,1,0,0,2,0,0,0,1,0,0,0,40,35.2,0.9,29.0,6.5,0,0.42,0.0,0.42,1.88
2022/23,520295,50,50,3,68,0,0,0,1,0,0,0,0,0,0,0,8,15.2,34.6,30.0,8.0,1,0.57,0.04,0.61,1.72
2023/24,520295,50,50,50,876,4,1,1,18,0,0,0,1,0,0,8,133,212.0,111.7,273.0,59.2,10,4.58,0.3,4.88,16.91
2020/21,231747,60,53,15,215,1,0,0,4,0,0,0,0,0,0,2,45,46.6,16.2,80.0,14.0,0,0.0,0.0,0.0,0.0
