season_name,element_code,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,id,first_name,second_name,unique_id
2023/24,535818,50,50,97,2220,6,1,4,38,0,0,0,3,0,0,8,330,477.6,507.8,751.0,173.4,25,4.19,3.26,7.45,36.64,113,Simon,Adingra,535818_2023/24
2012/13,39155,60,56,93,2230,3,5,4,42,0,0,0,2,0,0,7,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,463,Adam,Lallana,39155_2012/13
2013/14,39155,60,78,178,3086,9,9,16,41,0,0,0,3,0,0,20,199,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,463,Adam,Lallana,39155_2013/14
2014/15,39155,85,83,93,1779,5,3,9,22,0,0,0,4,0,0,7,346,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,463,Adam,Lallana,39155_2014/15
2015/16,39155,75,73,109,2109,4,6,10,27,0,0,0,2,0,0,10,451,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,463,Adam,Lallana,39155_2015/16
2016/17,39155,70,67,139,2338,8,7,9,32,0,0,0,3,0,0,14,543,679.4,693.0,825.0,219.5,0,0.0,0.0,0.0,0.0,463,Adam,Lallana,39155_2016/17
2017/18,39155,75,73,13,234,0,0,1,1,0,0,0,1,0,0,0,37,32.6,113.4,128.0,27.3,0,0.0,0.0,0.0,0.0,463,Adam,Lallana,39155_2017/18
2018/19,39155,70,69,23,460,0,1,3,3,0,0,0,1,0,0,0,96,85.4,139.0,113.0,33.8,0,0.0,0.0,0.0,0.0,463,Adam,Lallana,39155_2018/19
2019/20,39155,60,57,27,371,1,1,1,5,0,0,0,1,0,0,1,97,107.2,68.8,74.0,25.1,0,0.0,0.0,0.0,0.0,463,Adam,Lallana,39155_2019/20
2020/21,39155,65,62,58,1584,1,1,5,18,0,0,0,0,0,0,2,265,255.2,355.7,302.0,91.0,0,0.0,0.0,0.0,0.0,463,Adam,Lallana,39155_2020/21
2021/22,39155,55,53,44,1559,0,1,6,20,0,0,0,4,0,0,0,240,209.4,162.9,173.0,54.6,0,0.0,0.0,0.0,0.0,463,Adam,Lallana,39155_2021/22
2022/23,39155,50,48,47,717,2,1,5,10,0,0,0,0,0,0,4,146,144.2,186.7,152.0,48.5,12,0.88,1.22,2.1,10.59,463,Adam,Lallana,39155_2022/23
2023/24,39155,50,49,30,839,0,1,2,13,0,0,0,2,0,0,0,95,83.0,248.7,130.0,45.8,13,0.83,1.6,2.43,12.13,463,Adam,Lallana,39155_2023/24
2015/16,85971,80,75,70,1107,4,1,6,12,0,0,0,0,0,0,11,230,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,503,Son,Heung-min,85971_2015/16
2016/17,85971,75,72,174,2063,14,9,10,18,0,0,0,2,0,0,13,512,753.4,642.3,1161.0,255.6,0,0.0,0.0,0.0,0.0,503,Son,Heung-min,85971_2016/17
2017/18,85971,80,83,178,2292,12,8,14,18,0,0,0,0,0,0,16,544,725.8,588.2,1177.0,249.1,0,0.0,0.0,0.0,0.0,503,Son,Heung-min,85971_2017/18
2018/19,85971,85,86,159,2033,12,8,10,23,0,0,0,2,1,0,17,489,690.6,508.0,1002.0,219.9,0,0.0,0.0,0.0,0.0,503,Son,Heung-min,85971_2018/19
