season_name,element_code,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded
2014/15,103192,50,42,40,647,0,0,4,3,0,0,0,0,0,0,3,165,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
2015/16,103192,55,51,81,1918,1,1,8,26,0,0,0,0,0,0,7,412,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
2016/17,103192,55,53,15,250,0,1,0,8,0,0,0,0,0,0,3,69,60.6,13.5,4.0,7.8,0,0.00,0.00,0.00,0.00
2017/18,103192,55,54,87,2887,1,0,7,50,0,0,0,1,0,0,5,554,814.2,91.8,235.0,114.4,0,0.00,0.00,0.00,0.00
2018/19,103192,50,50,112,2613,2,2,10,39,0,0,0,3,1,0,12,543,565.2,83.7,235.0,88.8,0,0.00,0.00,0.00,0.00
2019/20,103192,50,47,62,2343,0,0,7,37,1,0,0,6,0,0,2,432,518.0,40.1,162.0,71.7,0,0.00,0.00,0.00,0.00
2020/21,103192,50,53,108,2027,5,0,9,25,0,0,0,3,0,0,6,481,577.8,72.6,339.0,99.0,0,0.00,0.00,0.00,0.00
2021/22,103192,55,54,66,2078,1,0,5,29,1,0,0,1,0,0,5,388,506.0,33.3,131.0,67.2,0,0.00,0.00,0.00,0.00
2022/23,103192,45,44,88,1988,2,1,7,29,0,0,0,0,0,0,8,385,415.0,18.7,239.0,67.4,24,1.96,0.11,2.07,27.88
2023/24,103192,45,45,76,2838,3,0,3,63,0,0,0,3,0,0,6,444,636.8,55.1,227.0,92.0,32,1.90,0.07,1.97,59.80
