season_name,element_code,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded
2014/15,156689,50,50,1,14,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
2015/16,156689,50,45,3,84,0,0,0,2,0,0,0,2,0,0,0,16,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
2016/17,156689,45,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
2017/18,156689,50,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
2018/19,156689,50,45,27,590,1,1,1,13,0,0,0,5,0,0,2,115,132.8,139.5,67.0,33.8,0,0.00,0.00,0.00,0.00
2019/20,156689,50,47,60,1478,1,3,6,16,0,0,0,3,0,0,1,198,245.6,432.1,343.0,102.3,0,0.00,0.00,0.00,0.00
2020/21,156689,50,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
2021/22,156689,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
2022/23,156689,45,43,123,2696,4,10,8,40,0,0,0,8,0,0,9,360,440.6,965.0,495.0,189.3,33,7.16,4.26,11.42,47.49
2023/24,156689,55,53,127,2611,3,9,14,40,0,0,0,6,0,0,7,459,503.6,1254.3,417.0,217.8,34,4.52,5.72,10.24,42.91
