First Name,Second Name,Actual Points,Predicted Points,epl_predictions
Virgil,van Dijk,1111,1091.8461632458161,100.0
Joel,Ward,802,833.1100724807429,76.30288043547195
Nathaniel,Clyne,777,785.5518873905405,71.94712165817107
Ben,Chilwell,604,593.786342949059,54.38370009781085
Aaron,Wan-Bissaka,561,577.1299857656518,52.85817775372059
Adam,Smith,518,548.2628631690493,50.214295898534424
Matt,Targett,474,480.3154899228946,43.991132275908114
Tyrick,Mitchell,383,375.1583257893609,34.35999854357674
Max,Kilman,361,367.043217280005,33.616752032984856
Jack,Stephens,338,366.53631272099113,33.57032566120488
Mason,Holgate,326,345.78136881135475,31.66942198005473
Nélson,Cabral Semedo,341,340.0408027837759,31.143655052366547
Tim,Ream,220,271.3510029784782,24.852494070392844
Rayan,Aït-Nouri,259,250.6181297151711,22.953611795469342
James,Justin,210,223.10257742546122,20.43351755362924
Trevoh,Chalobah,187,186.88503904594103,17.116425860798312
Jarrad,Branthwaite,142,147.51015980285445,13.510159651460377
Konstantinos,Tsimikas,140,142.1022894534451,13.014863653594439
Wesley,Fofana,125,137.6041065358947,12.602884102905875
Chris,Mepham,113,126.93897741810065,11.62608631977414
Álex,Moreno Lopera,121,120.77812320057777,11.061826039808688
Joe,Worrall,74,101.46326449522212,9.292816873907801
Konstantinos,Mavropanos,47,96.02766961955425,8.79498164229339
Malo,Gusto,74,79.9943910627189,7.326525819801696
Destiny,Udogie,79,75.87899080420885,6.949604565045818
Conor,Bradley,50,75.51763027169207,6.916508278711621
Axel,Disasi,71,66.16462948985736,6.059885697923288
Daniel,Muñoz,56,61.60503403239437,5.642281495889154
Armel,Bella-Kotchap,49,42.750886353384146,3.9154679287689445
Jurriën,Timber,0,9.101543045175049,0.8335920710769532
Juan,Larios López,4,4.33564187396928,0.397092742541713
Valentín,Barco,5,2.573402969205972,0.23569281606080997
