second_name_defender,season_name,element_code,start_cost,end_cost,goals_scored,assists,minutes,clean_sheets,goals_conceded,expected_goal_involvements,goals_scored_per_90,assists_per_90,expected_goals,expected_assists,expected_goals_per_90,expected_assists_per_90,yellow_cards,red_cards,total_points,ict_index,influence,creativity,threat,bonus,penalties_missed,penalties_saved,starts,clean_sheets_per_90,defensive_effectiveness,expected_goals_conceded,goals_conceded_per_90,defensive_effectiveness_trend,goals_conceded_trend,clean_sheets_trend,first_name_defender,id_defender,id_ref,second_name_ref,first_name_ref,ACR,EAC,OII,OE,OAI,MOA,Assist Efficiency,OII_Assist_Interaction,DCB,OASIS
Aarons,2019,232980,45,42,0,5,7352,11,175,0.93,0.0,0.06368998840406437,0.04,0.89,0.0009732360097323333,0.021654501216545,16,0,149,83.9,419.2,272.46666666666664,149.33333333333334,5,0,0,13,0.13663923606738806,-0.8365397330052028,26.75,2.227988568580395,-0.0516031998359347,-6.333333333333332,-0.6666666666666667,Max,59,59,Aarons,Max,0.0006800870511425463,0.022627737226277332,69.44577366318788,2.4960376234739896e-06,217.20666666666668,1239.797639123103,0.0007641427540927486,0.053066484747090054,2.145380137306925,71.21992323899924
Adarabioyo,2020,109646,45,45,3,1,6653,18,105,2.2800000000000002,0.051524106345375374,0.0101591601760921,1.49,0.79,0.02470092738640463,0.012706428992227398,7,0,215,77.63333333333334,540.0,66.5,167.66666666666666,14,0,0,41,0.24600476062095522,-0.4784200251917415,72.1,1.4420548236003088,-0.0441541372149023,-3.0,-1.5,Tosin,187,187,Adarabioyo,Tosin,0.0006012325266796934,0.03740735637863203,30.090324057257646,9.041090626762307e-06,261.35999999999996,1059.3949044585986,0.00019026345781002956,0.0057250891017581575,3.9881928194470504,64.30832901900683
Aguerd,2022,210494,50,48,3,0,3451,7,72,4.24,0.0806943647725821,0.0,3.6,0.64,0.09615353820769726,0.01642847876629435,5,1,94,62.900000000000006,433.79999999999995,63.0,131.5,5,0,0,38,0.18961959529171385,-0.666832203963571,67.21000000000001,1.856700105200641,-0.1473842742270591,8.0,-1.5,Nayef,529,529,Aguerd,Nayef,0.0008693132425383947,0.11258201697399162,25.782277745909035,1.3798622897434835e-05,208.47,476.6574585635359,0.0,0.0,2.349849284099474,52.00717189233638
Aina,2016,159506,50,45,3,2,4380,10,75,1.35,0.0402740018124633,0.029012740551202038,0.34,1.01,0.006035502958579866,0.017928994082840235,6,0,150,48.13333333333333,266.8,143.79999999999998,70.0,10,0,0,20,0.12559304866997173,-0.3888480196172505,29.01,1.0977130977130978,-0.19442400980862523,12.5,1.6666666666666667,Ola,422,422,Aina,Ola,0.001141552511415525,0.0239644970414201,35.784813422890345,7.938473653793639e-06,124.66666666666667,689.7637795275591,0.00045210000452100004,0.016178314310271866,1.812656280053859,39.24764637824335
Ajer,2021,191866,45,44,3,4,4584,17,79,4.06,0.04789630154246514,0.061542135733638564,1.26,2.8000000000000003,0.021616550797494735,0.0487488856893079,10,0,178,54.93333333333334,297.8666666666667,105.16666666666667,144.66666666666666,8,0,0,30,0.35972143951526475,-0.48564358331946317,40.75,1.5738303978139225,-0.026280438276272897,-2.833333333333334,-1.1666666666666665,Kristoffer,86,86,Ajer,Kristoffer,0.0015270506108202443,0.07036543648680263,35.53762116133708,1.4520291069606126e-05,172.68,414.4665461121158,0.00031164298180004984,0.011075050224799637,3.286975293769215,48.75153774401626
Akanji,2022,211975,50,51,2,1,4796,18,46,5.6899999999999995,0.035828025477707,0.01970227670753065,2.91,2.7800000000000002,0.0541683979943556,0.05157133674300306,4,1,194,84.4,461.0,222.6,158.5,13,0,0,52,0.334970077080103,-0.21208183207469294,47.42,0.8651746572668355,0.0401073097816993,0.0,2.0,Manuel,340,340,Akanji,Manuel,0.0006255212677231026,0.10573973473735865,60.390241893203346,2.8100685881541e-06,234.42999999999998,551.8987341772153,7.500255008670294e-05,0.00452942214234309,6.032203389830508,71.04229191391666
Aké,2012,126184,40,40,18,11,17722,53,272,6.46,0.08734085217323641,0.03893374903816723,4.0200000000000005,2.44,0.015298590892874877,0.009404349026165075,21,1,709,57.03333333333333,354.34999999999997,72.38333333333334,143.16666666666666,53,0,0,46,0.2295741787119672,-0.33445072650260405,37.620000000000005,1.0657009949684775,0.011208591454708426,1.6727272727272726,0.49090909090909096,Nathan,341,341,Aké,Nathan,0.0016363841552872137,0.024702939919039952,28.839949798914077,2.2607195329779602e-05,189.295,499.7743936830231,0.000254384195988685,0.007336427441950795,1.8180550681575605,49.395496273231814
Alexander-Arnold,2016,169187,45,43,15,66,18330,84,199,20.24,0.06459790769476362,0.2724470581124612,5.14,15.1,0.02361248475218665,0.06616751040284745,26,0,1132,190.7,653.7249999999999,948.675,303.625,157,0,0,59,0.36844586228573317,-0.2465503967245521,71.06,0.9848218540971134,0.022603734947586416,4.457142857142857,1.7142857142857142,Trent,311,311,Alexander-Arnold,Trent,0.0044189852700491,0.0897799951550341,220.20507328051167,4.65806021034506e-06,386.06999999999994,181.05491900434612,0.00023845395129036103,0.05250876981792151,1.0931653033395794,165.29737885318082
Andersen,2020,174874,45,45,4,8,11841,39,168,6.74,0.029505787100638024,0.05889011238836267,3.62,3.12,0.02665065084677845,0.022111449145308475,25,1,418,109.525,686.45,201.95000000000002,204.75,34,0,0,70,0.2974273115480856,-0.38653815580553197,89.94,1.2637727010619155,-0.010121244313337833,2.0,0.25,Joachim,191,191,Andersen,Joachim,0.0010134279199391944,0.04876209999208693,60.894469348556775,5.018212032380264e-06,330.21500000000003,631.8569903948772,0.0002165444273374347,0.013186357993100197,3.364718423223864,90.40111342224144
Aït-Nouri,2020,448514,50,50,5,8,6620,17,110,7.029999999999999,0.06881880786365563,0.09436679545130103,4.38,2.65,0.0567374196960098,0.03521428896508085,16,0,259,78.275,320.7,266.42499999999995,194.75,22,0,0,38,0.24782433964602074,-0.4950124721458169,64.15,1.485355520010563,0.006424414046632435,1.5,0.4166666666666667,Rayan,533,533,Aït-Nouri,Rayan,0.001963746223564955,0.09195170866109065,72.81583756178085,7.370728060673567e-06,209.23999999999998,330.5042436345482,0.00045602234509490967,0.03320564900497332,1.5186654619752635,70.97496975081393
