First Name,Second Name,Actual Points,Predicted Points
Virgil,van Dijk,1111,100.0
Craig,Dawson,826,100.0
John,Stones,813,97.63622722522467
Nathaniel,Clyne,777,97.46474619688716
Joel,Ward,802,76.30288043547195
Ben,Chilwell,604,64.92938825860593
Tyrone,Mings,479,53.65275890929384
Charlie,Taylor,397,52.893777459678226
Aaron,Wan-Bissaka,561,52.85817775372059
Adam,Smith,518,50.214295898534424
Oleksandr,Zinchenko,440,45.64991396522178
Matt,Targett,474,43.991132275908114
Willy,Boly,397,41.34716936993303
Mason,Holgate,326,40.51697563910391
Joe,Gomez,433,40.13147626171065
Nélson,Cabral Semedo,341,39.54697130918801
Joël,Veltman,335,34.559743843550464
Tyrick,Mitchell,383,34.35999854357674
Max,Kilman,361,33.616752032984856
Jack,Stephens,338,33.57032566120488
William,Saliba,281,29.512789113122516
Rayan,Aït-Nouri,259,27.02813223525094
Tim,Ream,220,24.852494070392844
James,Justin,210,20.43351755362924
Trevoh,Chalobah,187,19.82676909431173
Dara,O'Shea,110,16.84150654584447
Toti António,Gomes,131,16.677368713042892
Jarrad,Branthwaite,142,15.46698650576557
Tomiyasu,Takehiro,177,15.008550190658474
Konstantinos,Tsimikas,140,13.014863653594439
Wesley,Fofana,125,12.602884102905875
Chris,Mepham,113,11.62608631977414
Destiny,Udogie,79,11.074644111783421
Álex,Moreno Lopera,121,11.061826039808688
Jakub,Kiwior,93,9.869615337923651
Joe,Worrall,74,9.292816873907801
Konstantinos,Mavropanos,47,8.79498164229339
Harry,Toffolo,82,8.750267969403197
Wout,Faes,78,8.722906629918462
Nathaniel,Phillips,71,8.58747015631224
Malo,Gusto,74,7.326525819801696
Milos,Kerkez,59,7.300509159265185
Conor,Bradley,50,6.916508278711621
Nathan,Patterson,65,6.496358540451248
Lewis,Hall,57,6.4397289856917865
Axel,Disasi,71,6.059885697923288
Daniel,Muñoz,56,5.642281495889154
Armel,Bella-Kotchap,49,4.516776826411719
Victor,Kristiansen,16,1.9203236921028533
Valentín,Barco,5,1.1224406177914956
Jurriën,Timber,0,0.8335920710769532
Odeluga,Offiah,5,0.4279697296282197
Juan,Larios López,4,0.397092742541713
Alex,Murphy,2,0.3569963374018017
Kaine,Kesler-Hayden,3,0.0788013663051676
