id,first_name,second_name,photo,epl_predictions,predicted_points_defense,team,team_code
339,Virgil,van Dijk,97032.jpg,100.0,1111,12,14
542,Craig,Dawson,60232.jpg,100.0,826,20,39
362,John,Stones,97299.jpg,97.63622722522469,813,13,43
196,Nathaniel,Clyne,57328.jpg,97.46474619688716,777,7,31
215,Joel,Ward,55494.jpg,76.30288043547195,802,7,31
308,Danny,Ward,95463.jpg,76.30288043547195,802,11,13
160,Ben,Chilwell,172850.jpg,64.92938825860593,604,6,8
49,Tyrone,Mings,149484.jpg,53.65275890929384,479,2,7
281,Jack,Taylor,231899.jpg,52.89377745967823,397,10,40
475,Charlie,Taylor,103914.jpg,52.89377745967823,397,17,20
388,Aaron,Wan-Bissaka,214590.jpg,52.85817775372059,561,19,21
81,Adam,Smith,54469.jpg,50.21429589853442,518,3,91
25,Oleksandr,Zinchenko,206325.jpg,45.64991396522178,440,1,3
416,Matt,Targett,169359.jpg,43.991132275908114,474,15,4
425,Willy,Boly,90585.jpg,41.34716936993303,397,16,17
225,Mason,Holgate,194164.jpg,40.51697563910391,326,8,11
322,Joe,Gomez,171287.jpg,40.13147626171065,433,12,14
559,Nélson,Cabral Semedo,200402.jpg,39.54697130918801,341,20,39
145,Joël,Veltman,111478.jpg,34.559743843550464,335,5,36
210,Tyrick,Mitchell,244723.jpg,34.35999854357674,383,7,31
524,Max,Kilman,214048.jpg,33.616752032984856,361,19,21
472,Jack,Stephens,88900.jpg,33.57032566120488,338,17,20
18,William,Saliba,462424.jpg,29.51278911312252,281,1,3
533,Rayan,Aït-Nouri,448514.jpg,27.02813223525094,259,20,39
253,Tim,Ream,82514.jpg,24.852494070392844,220,9,54
295,James,Justin,220627.jpg,20.43351755362924,210,11,13
159,Trevoh,Chalobah,180736.jpg,19.82676909431173,187,7,31
630,Dara,O'Shea,216616.jpg,16.84150654584447,110,10,40
567,Toti António,Gomes,510362.jpg,16.677368713042892,131,20,39
219,Jarrad,Branthwaite,480455.jpg,15.46698650576557,142,8,11
22,Tomiyasu,Takehiro,223723.jpg,15.008550190658474,177,1,3
337,Konstantinos,Tsimikas,214285.jpg,13.01486365359444,140,12,14
164,David Datro,Fofana,520295.jpg,12.602884102905875,125,6,8
189,Wesley,Fofana,444463.jpg,12.602884102905875,125,6,8
72,Chris,Mepham,223911.jpg,11.62608631977414,113,3,91
505,Destiny,Udogie,487053.jpg,11.07464411178342,79,18,6
26,Álex,Moreno Lopera,106468.jpg,11.061826039808688,121,16,17
8,Jakub,Kiwior,440854.jpg,9.869615337923651,93,1,3
448,Joe,Worrall,208912.jpg,9.2928168739078,74,16,17
528,Konstantinos,Mavropanos,233963.jpg,8.79498164229339,47,19,21
444,Harry,Toffolo,114241.jpg,8.750267969403197,82,16,17
291,Wout,Faes,218218.jpg,8.722906629918462,78,11,13
359,Kalvin,Phillips,155405.jpg,8.58747015631224,71,10,40
332,Nathaniel,Phillips,197464.jpg,8.58747015631224,71,12,14
478,Ashley,Phillips,548308.jpg,8.58747015631224,71,18,6
171,Malo,Gusto,482609.jpg,7.326525819801696,74,6,8
70,Milos,Kerkez,544877.jpg,7.300509159265185,59,3,91
313,Conor,Bradley,492777.jpg,6.916508278711621,50,12,14
234,Nathan,Patterson,243571.jpg,6.496358540451248,65,8,11
399,Lewis,Hall,487838.jpg,6.4397289856917865,57,15,4
167,Axel,Disasi,220362.jpg,6.059885697923288,71,6,8
211,Daniel,Muñoz,247348.jpg,5.642281495889154,56,7,31
456,Armel,Bella-Kotchap,477386.jpg,4.516776826411719,49,17,20
296,Victor,Kristiansen,481510.jpg,1.9203236921028533,16,11,13
116,Valentín,Barco,543158.jpg,1.1224406177914956,5,5,36
6,Jurriën,Timber,445122.jpg,0.8335920710769532,0,1,3
139,Odeluga,Offiah,445548.jpg,0.4279697296282197,5,5,36
464,Juan,Larios López,515571.jpg,0.397092742541713,4,17,20
390,Alex,Murphy,545477.jpg,0.3569963374018017,2,15,4
402,Jacob,Murphy,114243.jpg,0.3569963374018017,2,15,4
43,Kaine,Kesler-Hayden,465390.jpg,0.0788013663051676,3,2,7
