First Name,Second Name,Actual Points,Predicted Points
Craig,Dawson,826,854.952171551476
John,Stones,813,834.7430448829917
Nathaniel,Clyne,777,833.2769641074215
Ben,Chilwell,604,555.1152148920404
Tyrone,Mings,479,458.70542739228574
Charlie,Taylor,397,452.2164990071241
Oleksandr,Zinchenko,440,390.2849307570441
Willy,Boly,397,353.49852240330915
Mason,Holgate,326,346.40076307350137
Joe,Gomez,433,343.1049277751603
Nélson,Cabral Semedo,341,338.107689990742
Joël,Veltman,335,295.46928047306227
William,Saliba,281,252.32023140804856
Rayan,Aït-Nouri,259,231.0776034750824
Trevoh,Chalobah,187,169.50939292031504
Dara,O'Shea,110,143.98682593568128
Toti António,Gomes,131,142.58352596980666
Jarrad,Branthwaite,142,132.2353370046165
Tomiyasu,Takehiro,177,128.3159257734278
Destiny,Udogie,79,94.68291032529004
Jakub,Kiwior,93,84.3804906553558
Harry,Toffolo,82,74.81060602098587
Wout,Faes,78,74.57667965489556
Nathaniel,Phillips,71,73.41876258272642
Milos,Kerkez,59,62.415861591452106
Conor,Bradley,50,58.2688722613778
Nathan,Patterson,65,55.540758413357715
Lewis,Hall,57,55.05660280520177
Armel,Bella-Kotchap,49,38.61628156154083
Victor,Kristiansen,16,16.417849106450824
Valentín,Barco,5,9.596330436184195
Odeluga,Offiah,5,3.6589364970394453
Alex,Murphy,2,3.0521479389759376
Kaine,Kesler-Hayden,3,0.6737139924382635
