second_name_defender,season_name,element_code,start_cost,end_cost,goals_scored,assists,minutes,expected_goal_involvements,goals_scored_per_90,assists_per_90,expected_goals,expected_assists,expected_goals_per_90,expected_assists_per_90,yellow_cards,red_cards,total_points,ict_index,influence,creativity,threat,penalties_missed,penalties_saved,starts,clean_sheets_per_90,defensive_effectiveness,goals_conceded_per_90,defensive_effectiveness_trend,goals_conceded_trend,clean_sheets_trend,first_name_defender,id_defender,second_name_ref,first_name_ref,DS,DSS
Aarons,2019,232980,45,42,0,5,7352,0.93,0.0,0.06368998840406437,0.04,0.89,0.0009732360097323333,0.021654501216545,16,0,149,83.9,419.2,272.46666666666664,149.33333333333334,0,0,13,0.13663923606738806,-0.8365397330052028,2.227988568580395,-0.0516031998359347,-6.333333333333332,-0.6666666666666667,Max,59,Aarons,Max,0.058823529411764705,-0.006051196472131565
Adarabioyo,2020,109646,45,45,3,1,6653,2.2800000000000002,0.051524106345375374,0.0101591601760921,1.49,0.79,0.02470092738640463,0.012706428992227398,7,0,215,77.63333333333334,540.0,66.5,167.66666666666666,0,0,41,0.24600476062095522,-0.4784200251917415,1.4420548236003088,-0.0441541372149023,-3.0,-1.5,Tosin,187,Adarabioyo,Tosin,0.125,0.15016574016368062
Aguerd,2022,210494,50,48,3,0,3451,4.24,0.0806943647725821,0.0,3.6,0.64,0.09615353820769726,0.01642847876629435,5,1,94,62.900000000000006,433.79999999999995,63.0,131.5,0,0,38,0.18961959529171385,-0.666832203963571,1.856700105200641,-0.1473842742270591,8.0,-1.5,Nayef,529,Aguerd,Nayef,0.125,0.06645963050883658
Aina,2016,159506,50,45,3,2,4380,1.35,0.0402740018124633,0.029012740551202038,0.34,1.01,0.006035502958579866,0.017928994082840235,6,0,150,48.13333333333333,266.8,143.79999999999998,70.0,0,0,20,0.12559304866997173,-0.3888480196172505,1.0977130977130978,-0.19442400980862523,12.5,1.6666666666666667,Ola,422,Aina,Ola,0.14285714285714285,0.1280398044551433
Ajer,2021,191866,45,44,3,4,4584,4.06,0.04789630154246514,0.061542135733638564,1.26,2.8000000000000003,0.021616550797494735,0.0487488856893079,10,0,178,54.93333333333334,297.8666666666667,105.16666666666667,144.66666666666666,0,0,30,0.35972143951526475,-0.48564358331946317,1.5738303978139225,-0.026280438276272897,-2.833333333333334,-1.1666666666666665,Kristoffer,86,Ajer,Kristoffer,0.09090909090909091,0.19928979969712293
Akanji,2022,211975,50,51,2,1,4796,5.6899999999999995,0.035828025477707,0.01970227670753065,2.91,2.7800000000000002,0.0541683979943556,0.05157133674300306,4,1,194,84.4,461.0,222.6,158.5,0,0,52,0.334970077080103,-0.21208183207469294,0.8651746572668355,0.0401073097816993,0.0,2.0,Manuel,340,Akanji,Manuel,0.14285714285714285,0.28591151803832615
Aké,2012,126184,40,40,18,11,17722,6.46,0.08734085217323641,0.03893374903816723,4.0200000000000005,2.44,0.015298590892874877,0.009404349026165075,21,1,709,57.03333333333333,354.34999999999997,72.38333333333334,143.16666666666666,0,0,46,0.2295741787119672,-0.33445072650260405,1.0657009949684775,0.011208591454708426,1.6727272727272726,0.49090909090909096,Nathan,341,Aké,Nathan,0.041666666666666664,0.19312609422323815
Alexander-Arnold,2016,169187,45,43,15,66,18330,20.24,0.06459790769476362,0.2724470581124612,5.14,15.1,0.02361248475218665,0.06616751040284745,26,0,1132,190.7,653.7249999999999,948.675,303.625,0,0,59,0.36844586228573317,-0.2465503967245521,0.9848218540971134,0.022603734947586416,4.457142857142857,1.7142857142857142,Trent,311,Alexander-Arnold,Trent,0.037037037037037035,0.28605991790907
Andersen,2020,174874,45,45,4,8,11841,6.74,0.029505787100638024,0.05889011238836267,3.62,3.12,0.02665065084677845,0.022111449145308475,25,1,418,109.525,686.45,201.95000000000002,204.75,0,0,70,0.2974273115480856,-0.38653815580553197,1.2637727010619155,-0.010121244313337833,2.0,0.25,Joachim,191,Andersen,Joachim,0.03571428571428571,0.20392816336797692
Aït-Nouri,2020,448514,50,50,5,8,6620,7.029999999999999,0.06881880786365563,0.09436679545130103,4.38,2.65,0.0567374196960098,0.03521428896508085,16,0,259,78.275,320.7,266.42499999999995,194.75,0,0,38,0.24782433964602074,-0.4950124721458169,1.485355520010563,0.006424414046632435,1.5,0.4166666666666667,Rayan,533,Aït-Nouri,Rayan,0.058823529411764705,0.14561675234303334
