season_name,element_code,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded
2006/07,18892,60,62,134,2780,5,6,0,38,0,0,0,3,0,0,20,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
2007/08,18892,70,75,177,3288,8,17,0,48,0,0,0,6,0,0,26,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
2008/09,18892,85,86,153,3190,7,9,0,47,0,0,1,7,1,0,20,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
2009/10,18892,85,84,152,3300,5,11,0,37,0,0,1,6,0,0,13,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
2010/11,18892,85,84,160,3050,7,11,7,49,0,0,1,8,0,0,27,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
2011/12,18892,100,96,123,1565,6,11,9,18,0,0,0,3,0,0,12,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
2012/13,18892,85,82,58,1369,0,5,5,17,0,0,0,1,0,0,6,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
2013/14,18892,75,71,50,1028,2,3,4,16,0,0,0,4,0,0,1,49,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
2014/15,18892,55,51,89,2065,2,6,9,18,0,0,0,5,0,0,9,399,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
2015/16,18892,60,56,40,1065,1,3,3,18,0,0,0,5,0,0,0,181,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
2016/17,18892,55,50,26,760,0,1,4,6,0,0,0,2,0,0,1,154,147.4,167.0,61.0,37.6,0,0.00,0.00,0.00,0.00
2017/18,18892,50,48,98,2444,2,6,9,26,0,0,0,7,0,0,11,479,601.2,502.3,213.0,131.6,0,0.00,0.00,0.00,0.00
2018/19,18892,60,57,73,2568,2,3,4,44,0,0,0,8,1,0,4,450,554.4,650.5,124.0,133.0,0,0.00,0.00,0.00,0.00
2019/20,18892,55,54,24,953,0,0,2,10,0,0,0,5,0,0,0,158,155.6,316.6,18.0,49.1,0,0.00,0.00,0.00,0.00
2021/22,18892,50,47,50,1234,0,2,4,19,1,0,0,2,0,0,0,224,187.4,201.9,113.0,50.2,0,0.00,0.00,0.00,0.00
2022/23,18892,45,43,87,2031,1,0,9,28,0,0,0,7,0,0,8,388,380.2,223.4,81.0,68.7,23,0.46,0.78,1.24,31.81
2023/24,18892,45,44,76,2277,0,1,9,34,1,0,0,5,1,0,3,375,284.8,365.2,87.0,74.0,27,0.67,1.51,2.18,37.73
