season_name,element_code,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded
2012/13,57531,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
2015/16,57531,60,53,126,2057,8,7,7,29,0,0,0,3,0,0,12,424,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
2016/17,57531,70,67,132,2433,9,8,7,43,0,0,0,4,1,0,8,410,622.4,503.1,1105.0,222.7,0,0.00,0.00,0.00,0.00
2017/18,57531,75,74,62,1350,3,2,7,23,0,0,0,1,0,0,1,188,296.6,256.3,393.0,94.6,0,0.00,0.00,0.00,0.00
2018/19,57531,70,68,118,2093,6,8,7,30,0,0,0,3,0,0,6,305,482.0,346.2,852.0,167.0,0,0.00,0.00,0.00,0.00
2019/20,57531,70,71,111,1767,10,4,3,30,0,0,0,3,0,0,8,284,552.8,377.4,1094.0,201.7,0,0.00,0.00,0.00,0.00
2020/21,57531,65,67,118,1972,10,5,6,25,0,0,0,3,0,0,19,345,517.8,349.1,1038.0,190.1,0,0.00,0.00,0.00,0.00
2021/22,57531,75,73,140,2975,10,10,7,43,0,0,1,6,1,0,14,441,649.2,615.6,1274.0,252.7,0,0.00,0.00,0.00,0.00
2022/23,57531,75,69,84,1822,5,3,5,29,0,0,0,2,0,0,4,222,305.8,209.0,579.0,109.1,21,6.69,0.58,7.27,29.47
2023/24,57531,60,57,78,1692,6,2,5,34,0,0,0,6,0,0,8,228,308.6,132.2,395.0,82.7,21,5.45,1.28,6.72,35.84
