season_name,element_code,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded
2006/07,21205,48,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
2007/08,21205,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
2014/15,21205,45,47,150,3420,0,0,10,53,0,2,0,1,0,127,11,615,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
2016/17,21205,45,51,149,3150,0,0,10,48,0,1,0,1,0,142,21,741,1001.6,30.3,0.0,103.2,0,0.00,0.00,0.00,0.00
2017/18,21205,50,47,8,305,0,0,0,4,0,0,0,0,0,8,0,48,53.4,0.0,0.0,5.3,0,0.00,0.00,0.00,0.00
2018/19,21205,50,48,58,1710,0,0,4,27,0,0,0,3,0,63,4,323,442.8,20.1,4.0,46.6,0,0.00,0.00,0.00,0.00
2019/20,21205,45,43,59,1794,0,0,4,35,1,0,0,0,0,67,3,346,507.4,0.3,0.0,50.7,0,0.00,0.00,0.00,0.00
2020/21,21205,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
2021/22,21205,40,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
2022/23,21205,40,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
2023/24,21205,40,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
