season_name,element_code,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded
2013/14,80607,80,72,132,1976,7,9,6,28,0,0,0,3,0,0,20,162,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
2014/15,80607,80,79,162,3132,10,4,9,49,0,0,0,4,0,0,25,689,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
2015/16,80607,85,87,178,2936,6,16,11,32,0,0,0,2,0,0,23,770,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
2016/17,80607,85,89,218,3159,8,20,16,24,0,0,0,0,0,0,30,798,974.6,1679.2,1244.0,389.7,0,0.00,0.00,0.00,0.00
2017/18,80607,95,97,199,3218,11,10,17,33,0,0,0,0,0,0,23,826,1072.6,1487.0,1021.0,358.2,0,0.00,0.00,0.00,0.00
2018/19,80607,95,92,161,2770,8,12,8,37,0,0,0,3,0,0,15,675,876.0,1148.7,801.0,283.0,0,0.00,0.00,0.00,0.00
2019/20,80607,90,86,48,1090,2,2,1,18,0,0,0,5,0,0,6,205,262.4,348.9,225.0,83.3,0,0.00,0.00,0.00,0.00
2021/22,80607,55,56,43,938,1,4,4,10,0,0,0,1,0,0,2,221,285.6,482.4,192.0,95.8,0,0.00,0.00,0.00,0.00
2022/23,80607,65,62,103,2046,1,9,13,25,0,0,0,3,0,0,8,426,425.4,575.2,344.0,134.4,25,4.79,3.49,8.28,26.02
2023/24,80607,60,58,48,1134,1,2,2,27,0,0,0,1,0,0,4,248,255.4,400.5,93.0,75.0,12,0.97,2.46,3.43,20.08
