id,first_name,second_name,element_code
1,Fábio,Ferreira Vieira,438098
2,Gabriel,Fernando de Jesus,205651
3,Gabriel,dos Santos Magalhães,226597
4,Kai,Havertz,219847
5,Karl,Hein,463748
6,Jurriën,Timber,445122
7,Jorge Luiz,Frello Filho,85955
8,Jakub,Kiwior,440854
9,Gabriel,Martinelli Silva,444145
12,Ethan,Nwaneri,499175
13,Martin,Ødegaard,184029
15,David,Raya Martin,154561
16,Declan,Rice,204480
17,Bukayo,Saka,223340
18,William,Saliba,462424
20,Thomas,Partey,167199
21,Kieran,Tierney,192895
22,Tomiyasu,Takehiro,223723
23,Leandro,Trossard,116216
24,Benjamin,White,198869
25,Oleksandr,Zinchenko,206325
73,Norberto,Murara Neto,69752
186,Raheem,Sterling,103955
578,Riccardo,Calafiori,466075
597,Myles,Lewis-Skelly,499169
633,Mikel,Merino,195384
638,Salah-Eddine,Oulad M'hand,498046
639,Tommy,Setford,551221
28,Leon,Bailey,215711
29,Ross,Barkley,88894
30,Enzo,Barrenechea,491287
31,Emiliano,Buendía Stati,195546
32,Matty,Cash,199796
33,Leander,Dendoncker,151589
34,Moussa,Diaby,243557
35,Diego Carlos,Santos Silva,165659
36,Lucas,Digne,101188
37,Lewis,Dobbin,461421
38,Jhon,Durán,476344
39,Joe,Gauci,462492
40,Kortney,Hause,123354
41,Samuel,Iling-Junior,469247
42,Boubacar,Kamara,226944
43,Kaine,Kesler-Hayden,465390
44,Ezri,Konsa Ngoyo,199798
45,Ian,Maatsen,441302
46,Filip,Marschall,462381
47,Emiliano,Martínez Romero,98980
48,John,McGinn,122806
49,Tyrone,Mings,149484
50,Kosta,Nedeljković,578545
51,Robin,Olsen,111782
52,Pau,Torres,244954
53,Jacob,Ramsey,232653
54,Morgan,Rogers,244850
55,Viljami,Sinisalo,248164
56,Lino,da Cruz Sousa,514315
57,Youri,Tielemans,166989
58,Ollie,Watkins,178301
233,Amadou,Onana,449871
569,Jaden,Philogene,481624
598,Lamare,Bogarde,515597
640,Sil,Swinkels,514287
641,Oliwier,Zych,516159
59,Max,Aarons,232980
60,Tyler,Adams,200785
61,Jaidon,Anthony,444180
62,David,Brooks,111317
63,Ryan,Christie,158499
64,Lewis,Cook,155408
65,Enes,Ünal,168636
66,Romain,Faivre,441240
67,Hamed,Traorè,424044
68,James,Hill,463981
69,Daniel,Jebbison,523700
70,Milos,Kerkez,544877
71,Justin,Kluivert,222683
72,Chris,Mepham,223911
74,Dango,Ouattara,533463
75,Alex,Paulsen,495145
76,Philip,Billing,168991
77,Alex,Scott,503139
78,Antoine,Semenyo,437730
