,id,first_name,second_name,element_type,code,element_code,Saves_Percentage,Predicted_End_Cost,Predicted_Total_Points,Goalie_Score,Predicted_Goalie_Score,Composite Score,Final_Point_Ranking
105,383,André,Onana,1,202641,202641,71.98067633,49.242,133.922,129.7091787,128.5245894,311.6885894,311.6885894
81,310,Alisson,Ramses Becker,1,116535,116535,73.45132743,53.048,106.334,98.49823009,97.58349238,256.9654924,306.7282907
180,554,José,Malheiro de Sá,1,149065,149065,69.79166667,48.082,109.312,111.3875,111.5388954,268.9328954,294.7099264
119,413,Nick,Pope,1,98747,98747,72.88135593,49.888,58.06,63.18813559,62.89425864,170.8422586,290.3913853
97,347,Ederson,Santana de Moraes,1,121160,121160,67.85714286,54.652,124.784,78.71428571,80.86600435,260.3020043,287.8853942
2,15,David,Raya Martin,1,154561,154561,66.1971831,54.892,135.108,66.26338028,65.99535777,255.9953578,274.7169847
151,508,Guglielmo,Vicario,1,184254,184254,64.32748538,50.906,118.964,102.5380117,104.0362789,273.9062789,273.9062789
25,91,Mark,Flekken,1,118342,118342,64.60674157,47.252,120.672,100.2696629,101.0182871,268.9422871,268.9422871
51,235,Jordan,Pickford,1,111234,111234,70.34883721,50.334,157.568,120.5075581,122.4909932,330.3929932,256.1882633
70,248,Bernd,Leno,1,80201,80201,68.71794872,48.616,137.162,116.614359,116.8664844,302.6444844,248.7027217
132,14,Aaron,Ramsdale,1,225321,225321,64.28571429,40.478,20.862,33.62142857,34.71925184,96.05925184,244.0595625
4,73,Norberto,Murara Neto,1,69752,69752,67.4556213,46.408,110.714,99.49704142,98.60026859,255.7222686,242.2855364
172,522,Wes,Foderingham,1,82143,82143,62.73584906,42.876,98.948,93.28820755,97.59420812,239.4182081,239.4182081
35,185,Robert,Sánchez,1,215059,215059,68.35443038,44.152,58.064,66.44050633,66.40685281,168.6228528,214.845195
11,47,Emiliano,Martínez Romero,1,98980,98980,66.43356643,50.784,116.51,101.7762238,103.9227243,271.2167243,214.4679431
39,201,Dean,Henderson,1,172649,172649,65.90909091,44.424,50.466,59.12045455,59.25599224,154.1459922,202.9738437
112,396,Martin,Dúbravka,1,67089,67089,67.9389313,43.088,75.638,76.90687023,76.52600902,195.252009,198.7448718
175,204,Sam,Johnstone,1,101982,101982,60.29411765,43.476,66.044,49.56176471,49.37273965,158.8927397,197.8342247
133,454,Gavin,Bazunu,1,456350,456350,55.55555556,44.572,89.902,61.77777778,62.17846309,196.6524631,196.6524631
104,374,Tom,Heaton,1,21205,21205,65.68627451,43.924,61.662,63.51862745,64.04358426,169.6295843,196.3899467
31,183,Đorđe,Petrović,1,457569,457569,66.37168142,44.266,77.198,72.21238938,73.21389528,194.6778953,194.6778953
24,152,Kepa,Arrizabalaga,1,109745,109745,73.38709677,49.0,115.328,97.825,96.27887488,260.6068749,194.3380842
29,146,Bart,Verbruggen,1,489639,489639,69.89247312,44.728,73.99,73.59677419,74.34464732,193.0626473,193.0626473
171,521,Łukasz,Fabiański,1,37096,37096,61.11111111,41.128,27.098,41.31111111,41.70573565,109.9317356,191.0573169
155,513,Alphonse,Areola,1,84182,84182,72.5388601,43.524,112.442,112.7253886,112.2881911,268.2541911,173.6889734
71,568,Arijanet,Muric,1,232917,232917,80.24691358,43.172,43.572,88.51234568,86.86699834,173.6109983,173.6109983
90,344,Scott,Carson,1,17601,17601,50.0,39.36,5.466,21.85,21.82082672,66.64682672,161.7149268
150,488,Fraser,Forster,1,40383,40383,57.89473684,41.056,42.294,38.73157895,37.72699788,121.0769979,159.7656068
64,624,Asmir,Begovic,1,40349,40349,100.0,38.554,7.996,43.6,43.31220995,89.86220995,148.8480783
142,469,Alex,McCarthy,1,58376,58376,45.16129032,41.146,21.948,24.20645161,26.17749073,89.27149073,145.5878699
41,445,Matt,Turner,1,224068,224068,66.26506024,41.812,43.334,49.63253012,47.96483614,133.1108361,133.1108361
126,414,John,Ruddy,1,19236,19236,57.14285714,39.668,2.784,26.51428571,27.36207264,69.81407264,129.9876796
127,443,Matz,Sels,1,85633,85633,57.8125,43.18,37.798,44.1109375,44.69180254,125.6698025,125.6698025
28,142,Jason,Steele,1,49262,49262,55.84415584,41.134,44.786,46.46233766,46.2294625,132.1494625,120.5630793
75,308,Danny,Ward,1,95463,95463,62.90322581,40.34,91.554,71.08064516,71.05317085,202.9471708,118.0454583
72,294,Daniel,Iversen,1,207270,207270,63.33333333,39.558,33.678,43.44666667,44.38244617,117.6184462,117.6184462
99,358,Stefan,Ortega Moreno,1,88248,88248,74.07407407,37.614,21.906,40.96296296,41.23233513,100.7523351,104.1158893
30,155,Marcus,Bettinelli,1,122074,122074,51.2195122,43.506,23.72,31.44878049,32.1444321,99.3704321,99.3704321
85,325,Caoimhin,Kelleher,1,200720,200720,71.79487179,38.222,35.172,47.38461538,47.61582263,121.0098226,92.44512964
113,412,Odysseas,Vlachodimos,1,111452,111452,45.45454545,40.512,21.004,25.54545455,28.94893324,90.46493324,90.46493324
19,84,Mark,Travers,1,229600,229600,72.22222222,39.246,18.424,37.05,37.34124974,95.01124974,88.17330684
15,51,Robin,Olsen,1,111782,111782,62.85714286,39.25,21.948,38.65714286,40.00468883,101.2026888,87.72753358
42,227,João,Neves Virgínia,1,222627,222627,100.0,41.18,1.772,45.5,44.62118987,87.57318987,87.57318987
177,536,Daniel,Bentley,1,79602,79602,53.33333333,40.19,16.078,25.12,24.67151223,80.93951223,82.31108481
40,209,Remi,Matthews,1,169593,169593,0.0,40.062,2.066,0.0,-0.57845707,41.54954293,41.54954293
