season_name,element_code,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded
2007/08,40383,40,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008/09,40383,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011/12,40383,45,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014/15,40383,50,53,118,2623,0,0,13,21,0,0,0,1,0,61,0,442,0,0,0,0,0,0,0,0,0
2015/16,40383,50,49,68,1620,0,0,6,17,0,0,0,0,0,52,3,310,0,0,0,0,0,0,0,0,0
2016/17,40383,50,50,134,3420,0,0,14,48,0,1,0,3,0,76,4,625,553.6,10,0,56.4,0,0,0,0,0
2017/18,40383,50,46,73,1800,0,0,4,30,0,1,0,0,0,69,6,351,488.2,0,0,48.9,0,0,0,0,0
2018/19,40383,45,42,2,90,0,0,0,3,0,0,0,0,0,3,0,13,22.2,0,0,2.2,0,0,0,0,0
2019/20,40383,45,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/21,40383,40,40,30,720,0,0,2,11,0,1,0,0,0,20,0,147,191,0,0,19.1,0,0,0,0,0
2021/22,40383,45,44,57,1710,0,0,3,35,0,0,0,1,0,68,6,330,559.8,0,0,56.2,0,0,0,0,0
2022/23,40383,40,39,40,1215,0,0,3,24,0,1,0,1,0,32,1,222,267.8,0,0,26.9,13,0,0,0,19.21
2023/24,40383,40,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021/22,154561,45,44,95,2160,0,0,8,27,0,0,0,1,0,78,5,496,593.4,10,0,60.1,0,0,0,0,0
2022/23,154561,45,48,166,3420,0,0,12,46,1,0,0,1,0,154,20,822,1146,20.1,4,117.3,38,0.11,0.12,0.23,50.12
2023/24,154561,50,53,135,2880,0,0,16,24,0,1,0,2,0,46,6,569,413,0,0,41.1,32,0,0.04,0.04,22.51
2016/17,225321,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/18,225321,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019/20,225321,45,44,126,3330,0,1,5,62,0,1,0,0,0,128,13,680,973.8,24,0,99.7,0,0,0,0,0
2020/21,225321,50,46,123,3420,0,0,5,63,0,0,0,1,0,146,12,685,1023,20,4,104.7,0,0,0,0,0
2021/22,225321,45,51,135,3060,0,0,12,39,0,0,0,1,0,90,14,641,690.2,1,0,69,0,0,0,0,0
2022/23,225321,50,48,143,3420,0,0,14,43,0,0,0,1,0,94,9,664,764.8,0,0,76.5,38,0,0.02,0.02,42.31
2023/24,225321,50,45,20,540,0,0,2,5,0,0,0,0,0,9,0,90,73.2,0,0,7.3,6,0,0.01,0.01,5.81
2018/19,116535,55,59,176,3420,0,0,21,22,0,0,0,1,0,76,9,771,677,0.1,0,67.6,0,0,0,0,0
2019/20,116535,60,62,122,2543,0,1,13,24,0,0,0,0,1,58,11,558,503,10,0,51.5,0,0,0,0,0
2020/21,116535,60,60,140,2970,1,0,10,32,0,1,0,1,0,84,13,660,776.4,0.1,17,79.4,0,0,0,0,0
2021/22,116535,60,61,176,3240,0,1,20,24,1,0,0,0,0,75,15,782,721.4,10,0,73.1,0,0,0,0,0
2022/23,116535,55,55,162,3330,0,1,14,43,0,1,0,1,0,107,15,824,966.4,10.1,0,97.6,37,0,0.02,0.02,50.02
2023/24,116535,55,57,107,2520,0,0,8,30,0,0,0,1,0,83,9,575,671.2,10.4,0,68.1,28,0,0,0,35.21
2022/23,200428,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/18,175941,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018/19,175941,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019/20,175941,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023/24,175941,40,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018/19,80201,50,49,106,2835,0,0,6,42,0,0,0,0,0,105,5,568,807.2,0,0,80.5,0,0,0,0,0
2019/20,80201,50,48,114,2649,0,0,7,39,0,1,0,2,0,113,10,591,843.2,0,0,84.1,0,0,0,0,0
2020/21,80201,50,50,131,3131,0,0,11,37,1,1,0,0,1,86,11,625,702.2,0,2,70.3,0,0,0,0,0
2021/22,80201,50,45,10,360,0,0,1,9,0,0,0,0,0,10,0,69,85,0,0,8.5,0,0,0,0,0
2022/23,80201,45,46,142,3240,0,0,8,51,0,1,0,3,0,144,17,766,1154.8,10,0,116.6,36,0,0,0,62.75
2023/24,80201,45,48,133,3420,0,0,10,61,1,0,0,3,0,134,15,782,1069.8,0.1,0,106.7,38,0,0,0,64.14
2023/24,462492,40,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/21,84182,45,45,124,3240,0,0,9,48,0,0,0,2,0,116,9,637,876.2,0,0,87.4,0,0,0,0,0
2021/22,84182,50,47,2,90,0,0,0,1,0,0,0,0,0,2,0,11,20.4,0,0,2,0,0,0,0,0
2022/23,84182,45,43,7,307,0,0,0,7,0,0,0,0,0,9,0,42,69.4,0,0,6.8,2,0,0,0,7.63
2023/24,84182,40,42,116,2700,0,0,4,53,1,2,0,1,0,138,11,598,1023.2,0,0,102.4,31,0,0,0,54.72
2006/07,19236,40,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007/08,19236,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008/09,19236,45,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011/12,19236,40,42,97,3319,0,0,3,65,0,1,0,1,1,140,0,0,0,0,0,0,0,0,0,0,0
2012/13,19236,45,44,67,1341,0,0,6,21,0,1,0,0,0,54,2,0,0,0,0,0,0,0,0,0,0
2013/14,19236,50,51,135,3420,0,0,12,62,0,0,0,2,0,125,8,186,0,0,0,0,0,0,0,0,0
2015/16,19236,45,41,69,2430,0,0,3,44,0,0,0,0,0,69,1,409,0,0,0,0,0,0,0,0,0
2018/19,19236,45,42,7,90,0,0,1,0,0,0,0,0,0,3,0,25,26.6,0,0,2.7,0,0,0,0,0
2019/20,19236,45,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/21,19236,45,43,4,91,0,0,0,1,0,0,0,0,0,3,0,19,25.4,0,0,2.5,0,0,0,0,0
2021/22,19236,45,43,3,135,0,0,0,3,0,0,0,0,0,4,0,20,34.2,0,0,3.4,0,0,0,0,0
2023/24,451302,40,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021/22,463748,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/23,463748,40,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023/24,463748,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012/13,101982,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013/14,101982,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015/16,101982,45,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/21,101982,45,46,140,3330,0,1,6,74,0,1,0,1,0,166,19,768,1213.6,10,0,122.4,0,0,0,0,0
2022/23,101982,45,44,36,810,0,0,3,10,0,0,0,1,0,26,5,159,177.4,0,0,17.8,9,0,0,0,8.81
2023/24,101982,45,43,68,1796,0,0,6,27,0,0,0,1,0,41,7,310,321.4,0,0,32.2,20,0,0,0,27.17
2022/23,88248,40,37,23,270,0,0,2,1,0,0,0,0,0,14,5,90,116.8,0,0,11.7,3,0,0,0,4.12
2023/24,88248,40,36,22,632,0,0,1,7,0,0,0,0,0,20,2,114,171.2,0,0,17.3,5,0,0,0,7.17
2006/07,21205,48,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007/08,21205,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014/15,21205,45,47,150,3420,0,0,10,53,0,2,0,1,0,127,11,615,0,0,0,0,0,0,0,0,0
2016/17,21205,45,51,149,3150,0,0,10,48,0,1,0,1,0,142,21,741,1001.6,30.3,0,103.2,0,0,0,0,0
2017/18,21205,50,47,8,305,0,0,0,4,0,0,0,0,0,8,0,48,53.4,0,0,5.3,0,0,0,0,0
2018/19,21205,50,48,58,1710,0,0,4,27,0,0,0,3,0,63,4,323,442.8,20.1,4,46.6,0,0,0,0,0
2019/20,21205,45,43,59,1794,0,0,4,35,1,0,0,0,0,67,3,346,507.4,0.3,0,50.7,0,0,0,0,0
2020/21,21205,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021/22,21205,40,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
