,id,season,first_name,second_name,Predicted_Total_Points
2,15,2023,David,Raya Martin,67.554
4,73,2023,Norberto,Murara Neto,55.357
11,47,2023,Emiliano,Martínez Romero,58.255
15,51,2023,Robin,Olsen,10.974
19,84,2023,Mark,Travers,9.212
25,91,2023,Mark,Flekken,60.336
28,142,2023,Jason,Steele,22.393
29,146,2023,Bart,Verbruggen,36.995
31,183,2023,Đorđe,Petrović,38.599
35,185,2023,Robert,Sánchez,29.032
39,201,2023,Dean,Henderson,25.233
40,209,2023,Remi,Matthews,1.033
41,445,2023,Matt,Turner,21.667
51,235,2023,Jordan,Pickford,78.784
70,248,2023,Bernd,Leno,68.581
71,568,2023,Arijanet,Muric,21.786
81,310,2023,Alisson,Ramses Becker,53.167
85,325,2023,Caoimhin,Kelleher,17.586
97,347,2023,Ederson,Santana de Moraes,62.392
99,358,2023,Stefan,Ortega Moreno,10.953
105,383,2023,André,Onana,66.961
112,396,2023,Martin,Dúbravka,37.819
113,412,2023,Odysseas,Vlachodimos,10.502
119,413,2023,Nick,Pope,29.03
127,443,2023,Matz,Sels,18.899
132,14,2023,Aaron,Ramsdale,10.431
151,508,2023,Guglielmo,Vicario,59.482
155,513,2023,Alphonse,Areola,56.221
171,521,2023,Łukasz,Fabiański,13.549
172,522,2023,Wes,Foderingham,49.474
175,204,2023,Sam,Johnstone,33.022
177,536,2023,Daniel,Bentley,8.039
180,554,2023,José,Malheiro de Sá,54.656
