id,first_name,second_name,team,element_type
1,Fábio,Ferreira Vieira,1,3
2,Gabriel,Fernando de Jesus,1,4
3,Gabriel,dos Santos Magalhães,1,2
4,Kai,Havertz,1,4
5,Karl,Hein,1,1
6,Jurriën,Timber,1,2
7,Jorge Luiz,Frello Filho,1,3
8,Jakub,Kiwior,1,2
9,Gabriel,Martinelli Silva,1,3
12,Ethan,Nwaneri,1,3
13,Martin,Ødegaard,1,3
15,David,Raya Martin,1,1
16,Declan,Rice,1,3
17,Bukayo,Saka,1,3
18,William,Saliba,1,2
20,Thomas,Partey,1,3
21,Kieran,Tierney,1,2
22,Tomiyasu,Takehiro,1,2
23,Leandro,Trossard,1,3
24,Benjamin,White,1,2
25,Oleksandr,Zinchenko,1,2
73,Norberto,Murara Neto,1,1
186,Raheem,Sterling,1,3
578,Riccardo,Calafiori,1,2
597,Myles,Lewis-Skelly,1,3
633,Mikel,Merino,1,3
638,Salah-Eddine,Oulad M'hand,1,3
639,Tommy,Setford,1,1
28,Leon,Bailey,2,3
29,Ross,Barkley,2,3
30,Enzo,Barrenechea,2,3
31,Emiliano,Buendía Stati,2,3
32,Matty,Cash,2,2
33,Leander,Dendoncker,2,3
34,Moussa,Diaby,2,3
35,Diego Carlos,Santos Silva,2,2
36,Lucas,Digne,2,2
37,Lewis,Dobbin,2,3
38,Jhon,Durán,2,4
39,Joe,Gauci,2,1
40,Kortney,Hause,2,2
41,Samuel,Iling-Junior,2,3
42,Boubacar,Kamara,2,3
43,Kaine,Kesler-Hayden,2,2
44,Ezri,Konsa Ngoyo,2,2
45,Ian,Maatsen,2,2
46,Filip,Marschall,2,1
47,Emiliano,Martínez Romero,2,1
48,John,McGinn,2,3
49,Tyrone,Mings,2,2
50,Kosta,Nedeljković,2,2
51,Robin,Olsen,2,1
52,Pau,Torres,2,2
53,Jacob,Ramsey,2,3
54,Morgan,Rogers,2,3
55,Viljami,Sinisalo,2,1
56,Lino,da Cruz Sousa,2,2
57,Youri,Tielemans,2,3
58,Ollie,Watkins,2,4
233,Amadou,Onana,2,3
569,Jaden,Philogene,2,3
598,Lamare,Bogarde,2,2
640,Sil,Swinkels,2,2
641,Oliwier,Zych,2,1
59,Max,Aarons,3,2
60,Tyler,Adams,3,3
61,Jaidon,Anthony,3,3
62,David,Brooks,3,3
63,Ryan,Christie,3,3
64,Lewis,Cook,3,3
65,Enes,Ünal,3,4
66,Romain,Faivre,3,3
67,Hamed,Traorè,3,3
68,James,Hill,3,2
69,Daniel,Jebbison,3,4
70,Milos,Kerkez,3,2
71,Justin,Kluivert,3,3
72,Chris,Mepham,3,2
74,Dango,Ouattara,3,3
75,Alex,Paulsen,3,1
76,Philip,Billing,3,3
77,Alex,Scott,3,3
78,Antoine,Semenyo,3,3
79,Marcos,Senesi,3,2
80,Luis,Sinisterra,3,3
81,Adam,Smith,3,2
83,Marcus,Tavernier,3,3
84,Mark,Travers,3,1
85,Illia,Zabarnyi,3,2
152,Kepa,Arrizabalaga,3,1
580,Dean,Huijsen,3,2
592,Julián,Araujo Zúñiga,3,2
599,Will,Dennis,3,1
617,Francisco Evanilson,de Lima Barbosa,3,4
86,Kristoffer,Ajer,4,2
87,Ethan,Brierley,4,3
88,Nathan,Collins,4,2
89,Mikkel,Damsgaard,4,3
90,Josh,Dasilva,4,3
91,Mark,Flekken,4,1
92,Rico,Henry,4,2
93,Aaron,Hickey,4,2
94,Vitaly,Janelt,4,3
95,Mathias,Jensen,4,3
96,Kim,Ji-soo,4,2
97,Yunus Emre,Konak,4,3
98,Keane,Lewis-Potter,4,3
99,Bryan,Mbeumo,4,3
100,Ben,Mee,4,2
101,Christian,Nørgaard,4,3
102,Frank,Onyeka,4,3
103,Myles,Peart-Harris,4,3
104,Ethan,Pinnock,4,2
105,Mads,Roerslev Rasmussen,4,2
106,Kevin,Schade,4,3
107,Igor Thiago,Nascimento Rodrigues,4,4
108,Ivan,Toney,4,4
109,Hákon,Valdimarsson,4,1
110,Yoane,Wissa,4,4
111,Yehor,Yarmoliuk,4,3
112,Mathias,Jorgensen,4,2
314,Fábio,Freitas Gouveia Carvalho,4,3
338,Sepp,van den Berg,4,2
602,Ryan,Trevitt,4,3
634,Gustavo,Nunes Fernandes Gomes,4,3
113,Simon,Adingra,5,3
114,Benicio,Baker-Boaitey,5,3
115,Carlos,Baleba,5,3
116,Valentín,Barco,5,2
118,Amario,Cozier-Duberry,5,3
119,Mahmoud,Dahoud,5,3
120,Lewis,Dunk,5,2
121,Julio,Enciso,5,3
122,Pervis,Estupiñán,5,2
123,Evan,Ferguson,5,4
