season_name,element_code,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,id,first_name,second_name,unique_id,position,points_per_game,value_for_money,scaled_cost,scaled_points
2023/24,535818,5.0,5.0,97,2220,6,1,4,38,0,0,0,3,0,0,8,330,477.6,507.8,751.0,173.4,25,4.19,3.26,7.45,36.64,113,Simon,Adingra,535818_2023/24,MID,0.04369369369369369,19.4,0.10638297872340424,0.3201320132013201
2012/13,39155,6.0,5.6,93,2230,3,5,4,42,0,0,0,2,0,0,7,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,463,Adam,Lallana,39155_2012/13,MID,0.04170403587443946,16.607142857142858,0.17021276595744678,0.3069306930693069
2013/14,39155,6.0,7.8,178,3086,9,9,16,41,0,0,0,3,0,0,20,199,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,463,Adam,Lallana,39155_2013/14,MID,0.057679844458846406,22.82051282051282,0.40425531914893614,0.5874587458745875
2014/15,39155,8.5,8.3,93,1779,5,3,9,22,0,0,0,4,0,0,7,346,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,463,Adam,Lallana,39155_2014/15,MID,0.05227655986509275,11.204819277108433,0.4574468085106384,0.3069306930693069
2015/16,39155,7.5,7.3,109,2109,4,6,10,27,0,0,0,2,0,0,10,451,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,463,Adam,Lallana,39155_2015/16,MID,0.051683262209578,14.931506849315069,0.351063829787234,0.35973597359735976
2016/17,39155,7.0,6.7,139,2338,8,7,9,32,0,0,0,3,0,0,14,543,679.4,693.0,825.0,219.5,0,0.0,0.0,0.0,0.0,463,Adam,Lallana,39155_2016/17,MID,0.05945252352437981,20.746268656716417,0.28723404255319146,0.45874587458745875
2017/18,39155,7.5,7.3,13,234,0,0,1,1,0,0,0,1,0,0,0,37,32.6,113.4,128.0,27.3,0,0.0,0.0,0.0,0.0,463,Adam,Lallana,39155_2017/18,MID,0.05555555555555555,1.7808219178082192,0.351063829787234,0.0429042904290429
2018/19,39155,7.0,6.9,23,460,0,1,3,3,0,0,0,1,0,0,0,96,85.4,139.0,113.0,33.8,0,0.0,0.0,0.0,0.0,463,Adam,Lallana,39155_2018/19,MID,0.05,3.333333333333333,0.30851063829787234,0.07590759075907591
2019/20,39155,6.0,5.7,27,371,1,1,1,5,0,0,0,1,0,0,1,97,107.2,68.8,74.0,25.1,0,0.0,0.0,0.0,0.0,463,Adam,Lallana,39155_2019/20,MID,0.07277628032345014,4.7368421052631575,0.18085106382978727,0.0891089108910891
2020/21,39155,6.5,6.2,58,1584,1,1,5,18,0,0,0,0,0,0,2,265,255.2,355.7,302.0,91.0,0,0.0,0.0,0.0,0.0,463,Adam,Lallana,39155_2020/21,MID,0.036616161616161616,9.35483870967742,0.23404255319148942,0.19141914191419143
2021/22,39155,5.5,5.3,44,1559,0,1,6,20,0,0,0,4,0,0,0,240,209.4,162.9,173.0,54.6,0,0.0,0.0,0.0,0.0,463,Adam,Lallana,39155_2021/22,MID,0.028223220012828735,8.30188679245283,0.1382978723404255,0.14521452145214522
2022/23,39155,5.0,4.8,47,717,2,1,5,10,0,0,0,0,0,0,4,146,144.2,186.7,152.0,48.5,12,0.88,1.22,2.1,10.59,463,Adam,Lallana,39155_2022/23,MID,0.06555090655509066,9.791666666666668,0.08510638297872336,0.1551155115511551
2023/24,39155,5.0,4.9,30,839,0,1,2,13,0,0,0,2,0,0,0,95,83.0,248.7,130.0,45.8,13,0.83,1.6,2.43,12.13,463,Adam,Lallana,39155_2023/24,MID,0.03575685339690107,6.122448979591836,0.09574468085106386,0.09900990099009901
2015/16,85971,8.0,7.5,70,1107,4,1,6,12,0,0,0,0,0,0,11,230,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,503,Son,Heung-min,85971_2015/16,MID,0.06323396567299007,9.333333333333334,0.3723404255319149,0.23102310231023102
2016/17,85971,7.5,7.2,174,2063,14,9,10,18,0,0,0,2,0,0,13,512,753.4,642.3,1161.0,255.6,0,0.0,0.0,0.0,0.0,503,Son,Heung-min,85971_2016/17,MID,0.08434318952981096,24.166666666666664,0.3404255319148936,0.5742574257425742
2017/18,85971,8.0,8.3,178,2292,12,8,14,18,0,0,0,0,0,0,16,544,725.8,588.2,1177.0,249.1,0,0.0,0.0,0.0,0.0,503,Son,Heung-min,85971_2017/18,MID,0.07766143106457242,21.445783132530117,0.4574468085106384,0.5874587458745875
2018/19,85971,8.5,8.6,159,2033,12,8,10,23,0,0,0,2,1,0,17,489,690.6,508.0,1002.0,219.9,0,0.0,0.0,0.0,0.0,503,Son,Heung-min,85971_2018/19,MID,0.07820954254795869,18.488372093023255,0.48936170212765956,0.5247524752475248
