season_name,element_code,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded
2008/09,60689,40,40,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
2010/11,60689,45,41,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
2014/15,60689,45,43,11,114,1,0,0,3,0,0,0,0,0,0,0,26,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
2017/18,60689,65,62,104,1621,10,1,10,11,0,0,0,1,0,0,20,314,442.0,203.5,692.0,133.8,0,0.00,0.00,0.00,0.00
2018/19,60689,65,63,131,2580,10,3,7,49,0,0,0,2,0,0,17,379,475.8,310.3,911.0,167.9,0,0.00,0.00,0.00,0.00
2019/20,60689,65,62,136,2436,14,1,11,33,1,0,0,1,0,0,21,384,552.2,299.6,1070.0,190.8,0,0.00,0.00,0.00,0.00
2020/21,60689,65,66,138,2741,12,3,9,43,0,0,0,0,0,0,16,395,595.8,323.2,1129.0,204.0,0,0.00,0.00,0.00,0.00
2021/22,60689,70,63,91,2694,5,0,6,41,0,0,0,1,0,0,8,228,274.8,265.4,784.0,130.5,0,0.00,0.00,0.00,0.00
2022/23,60689,60,56,53,807,3,0,4,9,0,0,0,0,0,0,7,163,145.2,82.1,169.0,39.3,9,2.71,0.37,3.08,11.80
2023/24,60689,50,47,131,1801,14,1,2,34,0,0,0,0,0,0,22,456,598.2,281.1,795.0,167.4,20,11.71,0.92,12.63,27.19
