id,stats,explain,gameweek,season
1,"{'minutes': 0, 'goals_scored': 0, 'assists': 0, 'clean_sheets': 0, 'goals_conceded': 0, 'own_goals': 0, 'penalties_saved': 0, 'penalties_missed': 0, 'yellow_cards': 0, 'red_cards': 0, 'saves': 0, 'bonus': 0, 'bps': 0, 'influence': '0.0', 'creativity': '0.0', 'threat': '0.0', 'ict_index': '0.0', 'starts': 0, 'expected_goals': '0.00', 'expected_assists': '0.00', 'expected_goal_involvements': '0.00', 'expected_goals_conceded': '0.00', 'total_points': 0, 'in_dreamteam': False}","[{'fixture': 21, 'stats': [{'identifier': 'minutes', 'points': 0, 'value': 0}]}]",3,2024-2025
2,"{'minutes': 0, 'goals_scored': 0, 'assists': 0, 'clean_sheets': 0, 'goals_conceded': 0, 'own_goals': 0, 'penalties_saved': 0, 'penalties_missed': 0, 'yellow_cards': 0, 'red_cards': 0, 'saves': 0, 'bonus': 0, 'bps': 0, 'influence': '0.0', 'creativity': '0.0', 'threat': '0.0', 'ict_index': '0.0', 'starts': 0, 'expected_goals': '0.00', 'expected_assists': '0.00', 'expected_goal_involvements': '0.00', 'expected_goals_conceded': '0.00', 'total_points': 0, 'in_dreamteam': False}","[{'fixture': 21, 'stats': [{'identifier': 'minutes', 'points': 0, 'value': 0}]}]",3,2024-2025
3,"{'minutes': 90, 'goals_scored': 0, 'assists': 0, 'clean_sheets': 0, 'goals_conceded': 1, 'own_goals': 0, 'penalties_saved': 0, 'penalties_missed': 0, 'yellow_cards': 0, 'red_cards': 0, 'saves': 0, 'bonus': 0, 'bps': 17, 'influence': '20.8', 'creativity': '20.8', 'threat': '9.0', 'ict_index': '5.1', 'starts': 1, 'expected_goals': '0.12', 'expected_assists': '0.01', 'expected_goal_involvements': '0.13', 'expected_goals_conceded': '1.83', 'total_points': 2, 'in_dreamteam': False}","[{'fixture': 21, 'stats': [{'identifier': 'minutes', 'points': 2, 'value': 90}]}]",3,2024-2025
4,"{'minutes': 90, 'goals_scored': 1, 'assists': 0, 'clean_sheets': 0, 'goals_conceded': 1, 'own_goals': 0, 'penalties_saved': 0, 'penalties_missed': 0, 'yellow_cards': 0, 'red_cards': 0, 'saves': 0, 'bonus': 2, 'bps': 34, 'influence': '47.0', 'creativity': '24.8', 'threat': '30.0', 'ict_index': '10.2', 'starts': 1, 'expected_goals': '0.77', 'expected_assists': '0.05', 'expected_goal_involvements': '0.82', 'expected_goals_conceded': '1.83', 'total_points': 8, 'in_dreamteam': False}","[{'fixture': 21, 'stats': [{'identifier': 'minutes', 'points': 2, 'value': 90}, {'identifier': 'goals_scored', 'points': 4, 'value': 1}, {'identifier': 'bonus', 'points': 2, 'value': 2}]}]",3,2024-2025
5,"{'minutes': 0, 'goals_scored': 0, 'assists': 0, 'clean_sheets': 0, 'goals_conceded': 0, 'own_goals': 0, 'penalties_saved': 0, 'penalties_missed': 0, 'yellow_cards': 0, 'red_cards': 0, 'saves': 0, 'bonus': 0, 'bps': 0, 'influence': '0.0', 'creativity': '0.0', 'threat': '0.0', 'ict_index': '0.0', 'starts': 0, 'expected_goals': '0.00', 'expected_assists': '0.00', 'expected_goal_involvements': '0.00', 'expected_goals_conceded': '0.00', 'total_points': 0, 'in_dreamteam': False}","[{'fixture': 21, 'stats': [{'identifier': 'minutes', 'points': 0, 'value': 0}]}]",3,2024-2025
6,"{'minutes': 79, 'goals_scored': 0, 'assists': 0, 'clean_sheets': 0, 'goals_conceded': 1, 'own_goals': 0, 'penalties_saved': 0, 'penalties_missed': 0, 'yellow_cards': 1, 'red_cards': 0, 'saves': 0, 'bonus': 0, 'bps': 3, 'influence': '12.8', 'creativity': '10.6', 'threat': '4.0', 'ict_index': '2.7', 'starts': 1, 'expected_goals': '0.00', 'expected_assists': '0.02', 'expected_goal_involvements': '0.02', 'expected_goals_conceded': '1.55', 'total_points': 1, 'in_dreamteam': False}","[{'fixture': 21, 'stats': [{'identifier': 'minutes', 'points': 2, 'value': 79}, {'identifier': 'yellow_cards', 'points': -1, 'value': 1}]}]",3,2024-2025
7,"{'minutes': 0, 'goals_scored': 0, 'assists': 0, 'clean_sheets': 0, 'goals_conceded': 0, 'own_goals': 0, 'penalties_saved': 0, 'penalties_missed': 0, 'yellow_cards': 0, 'red_cards': 0, 'saves': 0, 'bonus': 0, 'bps': 0, 'influence': '0.0', 'creativity': '0.0', 'threat': '0.0', 'ict_index': '0.0', 'starts': 0, 'expected_goals': '0.00', 'expected_assists': '0.00', 'expected_goal_involvements': '0.00', 'expected_goals_conceded': '0.00', 'total_points': 0, 'in_dreamteam': False}","[{'fixture': 21, 'stats': [{'identifier': 'minutes', 'points': 0, 'value': 0}]}]",3,2024-2025
8,"{'minutes': 0, 'goals_scored': 0, 'assists': 0, 'clean_sheets': 0, 'goals_conceded': 0, 'own_goals': 0, 'penalties_saved': 0, 'penalties_missed': 0, 'yellow_cards': 0, 'red_cards': 0, 'saves': 0, 'bonus': 0, 'bps': 0, 'influence': '0.0', 'creativity': '0.0', 'threat': '0.0', 'ict_index': '0.0', 'starts': 0, 'expected_goals': '0.00', 'expected_assists': '0.00', 'expected_goal_involvements': '0.00', 'expected_goals_conceded': '0.00', 'total_points': 0, 'in_dreamteam': False}","[{'fixture': 21, 'stats': [{'identifier': 'minutes', 'points': 0, 'value': 0}]}]",3,2024-2025
9,"{'minutes': 16, 'goals_scored': 0, 'assists': 0, 'clean_sheets': 0, 'goals_conceded': 0, 'own_goals': 0, 'penalties_saved': 0, 'penalties_missed': 0, 'yellow_cards': 0, 'red_cards': 0, 'saves': 0, 'bonus': 0, 'bps': 2, 'influence': '0.0', 'creativity': '0.5', 'threat': '0.0', 'ict_index': '0.0', 'starts': 0, 'expected_goals': '0.00', 'expected_assists': '0.00', 'expected_goal_involvements': '0.00', 'expected_goals_conceded': '0.65', 'total_points': 1, 'in_dreamteam': False}","[{'fixture': 21, 'stats': [{'identifier': 'minutes', 'points': 1, 'value': 16}]}]",3,2024-2025
10,"{'minutes': 0, 'goals_scored': 0, 'assists': 0, 'clean_sheets': 0, 'goals_conceded': 0, 'own_goals': 0, 'penalties_saved': 0, 'penalties_missed': 0, 'yellow_cards': 0, 'red_cards': 0, 'saves': 0, 'bonus': 0, 'bps': 0, 'influence': '0.0', 'creativity': '0.0', 'threat': '0.0', 'ict_index': '0.0', 'starts': 0, 'expected_goals': '0.00', 'expected_assists': '0.00', 'expected_goal_involvements': '0.00', 'expected_goals_conceded': '0.00', 'total_points': 0, 'in_dreamteam': False}","[{'fixture': 25, 'stats': [{'identifier': 'minutes', 'points': 0, 'value': 0}]}]",3,2024-2025
